brcaLine	PAM50	Source
184A1	Basal	joeGray
184B5	Normal	joeGray
21MT1	Her2	joeGray
21MT2	Her2	joeGray
21NT	Her2	joeGray
21PT	Her2	joeGray
600MPE	LumB	cancerCell2016
AU565	Her2	CCLE
BT-20	Basal	CCLE
BT-474	LumB	CCLE
BT-483	LumB	CCLE
BT-549	Basal	CCLE
CAL-120	Basal	CCLE
CAL-148	Her2	CCLE
CAL-51	Her2	CCLE
CAL-85-1	Basal	CCLE
CAMA-1	LumB	CCLE
DU4475	LumB	CCLE
EFM-19	LumB	CCLE
EFM-192A	Her2	CCLE
EFM192B	Her2	joeGray
EFM192C	LumA	joeGray
EVSAT	Her2	cancerCell2016
HBL100	Basal	cancerCell2016
HCC1008	LumB	cancerCell2016
HCC1143	Basal	CCLE
HCC1187	Basal	CCLE
HCC1395	Basal	CCLE
HCC1419	Her2	CCLE
HCC1428	LumB	CCLE
HCC1500	LumB	CCLE
HCC1569	Basal	CCLE
HCC1599	Basal	CCLE
HCC1806	Basal	CCLE
HCC1937	Basal	CCLE
HCC1954	Her2	CCLE
HCC202	Her2	CCLE
HCC2157	Basal	CCLE
HCC2185	LumB	cancerCell2016
HCC2218	LumB	CCLE
HCC2688	Her2	cancerCell2016
HCC3153	Basal	joeGray
HCC38	Basal	CCLE
HCC70	Basal	CCLE
HCC712	LumB	cancerCell2016
HDQ-P1	Basal	CCLE
HMC-1-8	Basal	CCLE
Hs-281	LumB	CCLE
Hs-343	Basal	CCLE
Hs-578T	Basal	CCLE
Hs-606	Basal	CCLE
Hs-739	Basal	CCLE
Hs-742	LumA	CCLE
JIMT-1	Basal	CCLE
KPL-1	LumB	CCLE
LY2	LumA	joeGray
MACLS2	Normal	cancerCell2016
MB157	Basal	joeGray
MCF10A	Basal	joeGray
MCF10F	Normal	joeGray
MCF12A	Basal	joeGray
MCF7	LumB	CCLE
MDA-MB-134-VI	LumB	CCLE
MDA-MB-157	Basal	CCLE
MDA-MB-175-VII	LumB	CCLE
MDA-MB-231	LumB	CCLE
MDA-MB-361	Her2	CCLE
MDA-MB-415	LumB	CCLE
MDA-MB-435S	Basal	CCLE
MDA-MB-436	Basal	CCLE
MDA-MB-453	Her2	CCLE
MDA-MB-468	Basal	CCLE
MDAMB330	LumB	cancerCell2016
MFM223	LumB	cancerCell2016
MX1	Basal	joeGray
OCUBM	Her2	cancerCell2016
SK-BR-3	Her2	CCLE
SKBR5	Her2	cancerCell2016
SKBR7	LumA	cancerCell2016
SUM102	Normal	cancerCell2016
SUM1315	Basal	joeGray
SUM149PT	Basal	joeGray
SUM159PT	Basal	joeGray
SUM185	Her2	cancerCell2016
SUM190	LumA	cancerCell2016
SUM225CWN	Normal	joeGray
SUM229PE	Basal	joeGray
SUM44	LumB	cancerCell2016
SUM52PE	Her2	joeGray
SW527	LumB	cancerCell2016
T-47D	LumB	CCLE
UACC-812	Her2	CCLE
UACC-893	Her2	CCLE
UACC3199	Basal	cancerCell2016
ZR-75-1	LumB	CCLE
ZR-75-30	Her2	CCLE
ZR75B	LumB	joeGray
