"","MCF7_rep1","MCF7_rep2","MCF7_shCtrl_rep1","MCF7_shCtrl_rep2","TamR_rep1","TamR_rep2","TamR_rep3","TamR_rep4"
"A1BG",2.79222627604825,2.37319762489756,2.77717508882461,3.09936865792332,1.40025336570358,1.25752239476635,0.784009666013775,1.0116938517986
"A1BG-AS1",1.52686037267172,1.49793661470524,2.08150878798257,1.92458917801917,0.863732069026,0.572207478243677,0.954927999276457,0.345972202576834
"A1CF",0,0,0.0854117320096367,0,0,0.187875149804185,0,0
"A2M",0.460811874008967,0.685382457380722,0.383997267292723,0.563075037232451,0.605638939976352,1.07907315534843,1.24587824294302,1.0116938517986
"A2M-AS1",1.26974261550851,1.4181104051304,1.37058440058978,1.06435454903885,0.291091171894499,0.819640705672855,0.282822860426277,0.559993523863203
"A2ML1",0.248726769600225,0.383014806922359,0.512918067707229,0.494889458966766,0,0.273369309914827,0.194568688943449,0
"A2MP1",0.729925297124303,0.615521961161118,0.740621462373367,0.750195968497967,0,0,0,0
"A3GALT2",0,0,0.0854117320096367,0,0,0.0969936745882134,0,0
"A4GALT",5.16226003771382,5.18076203126992,4.56239347706733,4.53815907310436,0.200433510174067,0.35407927318435,0.657665548875869,0.624816237224786
"A4GNT",0.129716953799761,0,0,0,0,0.0969936745882134,0.100561918588521,0
"AA06",0,0,0,0,0,0,0,0
"AAAS",6.06297048220119,5.92658338944967,5.72527521497587,5.89193003372128,5.32102233458822,5.36684843958638,5.30032903373352,5.39196834972484
"AACS",5.03969952910464,5.12213982001524,5.23244192274037,5.11368590355274,5.88027971398702,5.95555054925347,6.12660548326247,6.14949532320326
"AACSP1",0.460811874008967,0.296367056700623,0,0.268561814287331,0,0.0969936745882134,0.100561918588521,0
"AADAC",0.129716953799761,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0
"AADACP1",0,0.105699570434955,0,0,0,0,0,0
"AADAT",2.90524557511586,2.80843990621182,3.35184946110605,3.26205248066464,3.46733704563513,3.40556370628456,3.67436252373615,3.6380801162356
"AAED1",3.27131671560041,3.35020579445755,2.9691846577973,2.73569042270337,2.94616206738426,2.77432563464658,2.94743467018991,2.85462718039897
"AAGAB",6.86338060744124,6.83141878197834,6.67587550594455,6.67252934522541,6.47227111861889,6.50539521818082,6.91346727610786,6.90899798799927
"AAK1",4.95033456725611,4.91600628032934,5.14810556839877,5.1556958774119,6.15681255757499,6.17970183821232,5.73319397391504,5.73801498957929
"AAMDC",2.73221313948218,2.99882277546421,2.82762587703447,2.47755886601588,2.93214417106764,2.85973422022466,2.87829516352757,2.86807775638321
"AAMP",7.2071440510583,7.21698987827709,7.10325347927966,7.10442960226277,7.07032491681235,7.00373862637609,7.20785846604692,7.16880794346805
"AANAT",0.645677848117698,0.383014806922359,0.449897251504892,0.268561814287331,0.200433510174067,0.430512224133745,0.100561918588521,0.0945763299468143
