gene_id,MCF7_1,MCF7_2,MCF7_3,TamR_1,TamR_2,TamR_3
A1BG,2.280956314,2.541019153,2.801158656,2.693765712,2.531069493,2.462052319
A1BG-AS1,1.963474124,2.244887059,1.843983844,2.500802053,2.675815931,2.510961919
A1CF,0,0.028569152,0,0.028569152,0,0.014355293
A2M,0.713695815,0.948600847,0.59454855,0.275007047,0.084064265,0.124328135
A2M-AS1,1.310340121,0.948600847,1.321928095,1.117695043,1.111031312,1.327687364
A2ML1,0.176322773,0.214124805,0.298658316,0.028569152,0.137503524,0.124328135
A2MP1,0.070389328,0.084064265,0.097610797,0,0,0
A3GALT2,0.150559677,0,0.124328135,0,0,0
A4GALT,3.396433531,3.628773595,3.407352751,4.051372102,4.224194664,4.14974712
A4GNT,0.042644337,0,0,0,0,0
AA06,0,0,0,0,0,0
AAAS,5.71259578,5.914086097,5.763145958,6.312338439,6.364222221,6.455984709
AACS,5.610286657,5.541019153,5.469560422,5.507160349,5.466300829,5.373300197
AACSP1,0.275007047,0.35614381,0.111031312,0.150559677,0.084064265,0.201633861
AADAC,0.056583528,0.124328135,0.084064265,0.275007047,0,0
AADACL2,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADAT,2.855989697,2.618238656,3.010779839,3.438292852,3.367371066,3.5360529
AAED1,3.56193706,3.010779839,3.458119481,3.275007047,2.901108243,3.195347598
AAGAB,6.61176256,6.277612871,6.378858383,6.546431489,6.361241988,6.367021533
AAK1,2.257010618,1.937344392,1.855989697,2.13093087,1.807354922,1.831877241
AAMDC,5.560409266,5.642412773,5.426600226,5.719457275,5.676662335,5.61176256
AAMP,7.815703503,7.906469748,7.941517176,7.863071186,7.950818314,7.915461146
AANAT,0.150559677,0.111031312,0,0.555816155,0.344828497,0.40053793
AAR2,5.445594291,5.502712486,5.461724992,5.728192635,5.802710219,5.80451827
AARD,5.817879032,5.394719913,5.621172753,1.049630768,0.59454855,0.555816155
AARS,7.735860608,7.67616866,7.642123916,7.769705632,7.660566438,7.708945914
AARS2,3.776103988,3.762348816,3.808385051,3.989139007,3.83491343,4.131754091
AARSD1,4.433627167,4.603477988,4.521678952,4.535430915,4.556429415,4.447579197
AASDH,2.678071905,2.182692298,2.482848283,2.801158656,2.266036894,2.40053793
AASDHPPT,5.06091205,4.500802053,4.713695815,4.321928095,4.294988268,4.22342255
AASS,1.042644337,0.918386234,0.879705766,1.40599236,1.22650853,1.292781749
AATF,5.587064898,5.416501993,5.468257468,5.484460413,5.346247774,5.18705509
AATK,1.906890596,1.925999419,1.918386234,0.411426246,0.485426827,0.344828497
AATK-AS1,0,0,0,0.042644337,0.056583528,0
ABAT,6.056800263,5.905206469,5.917431755,6.573344228,6.503666755,6.523875551
ABCA1,0.604071324,0.5360529,0.622930351,0.056583528,0.201633861,0.084064265
ABCA10,0.201633861,0.189033824,0.163498732,0.565597176,0.704871964,0.422233001
ABCA11P,3.168321116,3.292781749,3.331991778,3.316145742,3.367371066,3.305970521
ABCA12,4.279471296,3.857980995,3.917431755,2.776103988,2.538538164,2.606442228
ABCA13,0.056583528,0.042644337,0.056583528,0.028569152,0.028569152,0.056583528
ABCA17P,0.526068812,0.454175893,0.389566812,0.526068812,0.50589093,0.50589093
ABCA2,5.923386916,5.9800253,6.029452886,6.084702108,6.128458384,6.14363831
ABCA3,4.63343121,4.61117238,4.718087584,5.218781168,5.101818134,5.130519083
ABCA4,0.669026766,0.526068812,0.464668267,0.014355293,0,0
ABCA5,2.819668183,2.140778656,2.427606173,3.111031312,2.875780063,2.837943242
ABCA6,0.056583528,0,0.028569152,0.111031312,0.056583528,0.163498732
ABCA7,2.782408565,2.895302621,2.99095486,2.625270489,2.653060017,2.773996325
ABCA8,0,0,0,0,0,0
ABCA9,0.40053793,0.344828497,0.59454855,0.584962501,0.516015147,0.516015147
ABCB1,0.028569152,0.028569152,0.028569152,0.028569152,0.097610797,0
ABCB10,3.901108243,3.559491813,3.659924558,4.174725988,3.9800253,3.885574364
ABCB11,0,0,0,0,0,0
ABCB4,1.097610797,0.933572638,1.077242999,1.89917563,1.970853654,2.166715445
ABCB5,0.565597176,0.378511623,0.713695815,0.565597176,0.321928095,0.50589093
ABCB6,5.589164237,5.530133184,5.517590658,4.939696741,4.820689561,4.933100475
ABCB7,3.835924074,3.854993017,3.807354922,3.945794957,3.967168608,4.008988783
ABCB8,4.539158811,4.816087659,4.638073837,4.583759754,4.803743669,4.785027362
ABCB9,3.87774425,3.964398632,4.069530325,3.820689561,3.862947248,3.821710215
ABCC1,4.13093087,4.046141782,3.964398632,3.690417096,3.605257263,3.554588852
ABCC10,3.61117238,3.681449265,3.593353771,3.261530815,3.411426246,3.459431619
ABCC11,1.327687364,1.10433666,1.201633861,0.50589093,0.40053793,0.411426246
ABCC12,0.014355293,0.014355293,0.097610797,0,0,0
ABCC13,0.782408565,0.5360529,0.669026766,0.097610797,0.042644337,0
ABCC2,1.007195501,0.669026766,0.98550043,1.500802053,1.304511042,1.263034406
ABCC3,6.378338212,6.492654371,6.424082287,5.432291338,5.491853096,5.547511524
ABCC4,3.313245852,2.861955364,2.965322548,2.214124805,2.032100843,2.111031312
ABCC5,5.820178962,5.859472667,5.834154981,5.458447627,5.411426246,5.475733431
ABCC5-AS1,0,0,0,0.150559677,0,0
ABCC6,0.704871964,0.918386234,1.220329955,0.918386234,1.333423734,1.03562391
ABCC6P1,0,0,0,0.028569152,0,0.042644337
ABCC6P2,0.97819563,0.575312331,0,0.887525271,0.687060688,0.443606651
ABCC8,1.448900951,1.560714954,1.659924558,1.448900951,1.604071324,1.769771739
ABCC9,4.169925001,3.552131108,3.676944359,4.107687869,3.626439137,3.592158002
ABCD1,5.177917792,5.283180979,5.294620749,3.799087306,3.795974694,3.655351829
ABCD2,0,0,0,0,0,0
ABCD3,5.192588722,4.602884409,4.821199978,4.414812061,4.227278994,4.35614381
ABCD4,3.797012978,3.795974694,3.727920455,4.412104045,4.447579197,4.465974465
ABCE1,5.486714373,4.736063628,5.007644031,5.307428525,5.039138394,4.950468414
ABCF1,6.051589621,6.019701914,5.997969782,6.382321407,6.318136041,6.352087578
ABCF2,6.040015679,5.888499736,5.886550147,5.956985925,5.775577361,5.756222713
ABCF3,5.73470962,5.884842094,5.890933022,5.253989266,5.289465631,5.356848079
ABCG1,4.764473551,4.740387932,4.627606838,3.976363636,3.916476644,4.036503334
ABCG2,4.129283017,3.85698569,3.904002316,3.476381688,3.371558863,3.496973581
ABCG4,0.028569152,0,0.028569152,0.056583528,0,0.028569152
ABCG5,0,0,0,0.028569152,0,0.084064265
ABCG8,0,0,0,0,0,0
ABHD1,0.632268215,0.50589093,1.195347598,0.925999419,1.049630768,0.748461233
ABHD10,3.659924558,3.250961574,3.298658316,3.897240426,3.886550147,3.991861931
ABHD11,6.960465374,6.987093437,6.974070367,6.748327048,6.644433152,6.642123916
ABHD12,7.449643906,7.272116528,7.377297306,8.317503062,8.211012193,8.261765855
ABHD12B,0,0,0,0,0.124328135,0
ABHD13,2.937344392,2.277984747,2.56315813,2.891419187,2.680324357,2.759155834
ABHD14A,4.353323291,4.493134922,4.543495883,4.184280294,4.307428525,4.391630262
ABHD14A-ACY1,1.454175893,1,1.700439718,1.839959587,2.942983598,0.910732662
ABHD14B,4.892391026,5.085339669,4.930264245,4.721919446,5.027242536,4.972233124
ABHD15,4.465321514,4.207892852,4.205548911,4.377817853,4.121844298,4.263785614
ABHD16A,5.651912745,5.801417366,5.841469999,5.833902077,5.989366114,5.932155684
ABHD16B,3.917431755,3.607626221,4.085764554,3.999098034,3.762348816,3.897240426
ABHD17A,6.195544459,5.936637939,6.214707673,6.202025845,5.692092375,5.792334806
ABHD17B,3.608809243,3.478971805,3.324810603,3.396433531,3.3305584,3.333423734
