,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_TamR1,MCF7_TamR2,MCF7_TamR3
1-Dec,0,0,0,0,0,0
1-Mar,5.204375511,5.049195106,5.037821465,4.874305166,4.993221467,4.887037791
1-Sep,1.182692298,1.632268215,1.541019153,0.815575429,0.59454855,0.790772038
10-Mar,0.411426246,0.411426246,0.687060688,1.03562391,0.815575429,0.839959587
10-Sep,2.319039816,2.618238656,2.353323291,4.568640195,4.383358695,4.386121157
11-Mar,0,0,0,1.454175893,0.378511623,1.097610797
11-Sep,5.383013015,5.668175869,5.391973883,5.456477629,5.249445341,5.139551352
12-Sep,0.042644337,0,0,0.310340121,0,0
14-Sep,0.014355293,0,0,0,0,0
15-Sep,6.672566776,6.730911624,6.575463612,6.913727173,6.872459422,6.871474058
2-Mar,4.228049048,4.278728213,4.283180979,4.615887074,4.584361253,4.450881315
2-Sep,6.053328593,6.074034394,5.978424465,7.666046429,7.538460564,7.475976561
3-Mar,1.150559677,1.09085343,1.521050737,1.867896464,1.859969548,1.871843649
3-Sep,2.570462931,2.724650272,2.46727948,1.887525271,1.541019153,1.589763487
4-Mar,0,0,0,0,0,0
4-Sep,1.220329955,0.948600847,0.956056652,0.35614381,0.632268215,0.214124805
5_8S_rRNA,0,0,0,0,0,0
5-Mar,5.218393711,5.635754391,5.21218021,5.532940288,5.358607249,5.573798644
5-Sep,3.039138394,2.948600847,2.959770155,4.655924213,4.183486514,4.327687364
5S_rRNA,0,0,0,3.665620164,0,0
6-Mar,7.432124273,6.944155663,6.794285888,7.705839706,7.12122267,6.993108222
6-Sep,0.40053793,0.333423734,0.22650853,2.809414444,2.773996325,2.655351829
7-Mar,5.90014226,6.002027365,5.807354922,6.755555262,6.357727932,6.312882955
7-Sep,6.02989455,6.205548911,6.130724991,6.559185866,6.547665748,6.486875235
7SK,2.166715445,1.59454855,1.659924558,0.432959407,0.604071324,1.097610797
8-Mar,2.40053793,2.924099886,2.901108243,2.173127433,2.22342255,2.23572706
8-Sep,5.295355693,5.244125943,5.300123725,5.581351247,5.290940402,5.274261661
9-Mar,4.433627167,5.021479727,4.965784285,5.09000653,5.313245852,5.429281193
9-Sep,7.105070402,7.292965755,7.417008587,7.741264725,7.75141016,7.731454808
A1BG,2.124328135,2.707082992,2.933572638,1.500802053,1.613531653,2.22650853
A1BG-AS1,3.03562391,2.867896464,2.833902077,3.087462841,2.577730931,2.508428653
A1CF,0,0,0,0,0,0
A2M,0.422233001,0.59454855,0.485426827,3.683696454,1.669026766,1.244887059
A2M-AS1,0.86393845,0.659924558,0.704871964,0.475084883,0.250961574,0.40053793
A2ML1,0.137503524,0.124328135,0.097610797,0,0,0
A2ML1-AS1,0.163498732,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0
A2MP1,0.176322773,0.422233001,0.275007047,0.014355293,0,0
A3GALT2,0,0,0,0.070389328,0,0
A4GALT,3.907852072,3.892391026,4.04176865,0.765534746,1.327687364,1.23878686
A4GNT,0,0,0,0.042644337,0,0
AA06,0,0,0,0,0,0
AAAS,6.286696365,6.258518925,6.192588722,5.567119488,5.64990282,5.637204482
AACS,5.376081967,5.379551653,5.463687842,5.147713722,4.949534933,4.938756261
AACSP1,0.310340121,0.263034406,0.201633861,0.163498732,0.124328135,0.042644337
AADAC,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0
AADAT,3.326249701,3.294253136,3.313245852,3.367371066,2.873813198,2.916476644
AAED1,2.9202933,2.944858446,2.757023247,1.773996325,1.82374936,1.843983844
AAGAB,5.82858081,6.176522247,6.050936965,5.949067966,5.882398504,5.804001915
AAK1,2.3305584,2.381283373,2.336283388,3.114367025,2.809414444,2.493134922
AAMDC,4.222650022,4.362469889,4.18030702,4.263785614,4.177120503,3.979110755
AAMP,7.091594061,7.325710208,7.347665656,7.780441343,7.872459422,7.851686586
AANAT,0,0.321928095,0,0,0,0
AAR2,4.032982417,4.272769732,4.234961095,4.213347282,4.060047384,4.205548911
AARD,1.970853654,2.384049807,2.313245852,0.584962501,0.40053793,0.40053793
AARS,7.749400182,7.841407097,7.913428001,7.115615931,7.303324127,7.444020969
AARS2,3.624100895,3.464668267,3.489286023,3.888499736,3.715893371,3.782408565
AARSD1,5.049630768,4.722466024,4.560103513,4.995936704,4.842978832,4.98230913
AARSP1,0,0,0,0,0,0
AASDH,2.901108243,3,2.698218478,2.687060688,2.464668267,2.543495883
AASDHPPT,4.175524601,4.451540833,4.158660175,4.61999983,4.560714954,4.464668267
AASS,0.622930351,0.495695163,0.344828497,5.141596278,5.126807703,5.364922559
AATF,5.321206567,5.314333994,5.289096702,5.256255873,5.17990909,5.192588722
AATK,1.207892852,1.687060688,1.835924074,0.739848103,1,0.765534746
AATK-AS1,0,0.070389328,0,0,0,0
AB015752.3,0.111031312,0.214124805,0.201633861,0,0,0
AB019438.66,0,0,0,0,0,0
AB019440.50,0,0,0,0,0,0
AB019441.29,0.367371066,0.50589093,0.485426827,0.367371066,0.189033824,0.839959587
ABAT,6.348197003,6.590212761,6.392832579,4.906409617,4.87774425,4.707082992
ABBA01010927.1,0,0,0,0,0,0
ABBA01010927.2,0,0,0,0,0,0
ABBA01014710.1,0,0,0,0,0,0
ABBA01015879.1,0,0,0,0,0,0
ABBA01017803.1,0.176322773,0.176322773,0.163498732,0.163498732,0.111031312,0.163498732
ABBA01031658.1,0,0,0,0,0,0
ABBA01031663.1,0,0,0,0,0,0
ABBA01031664.1,0,0.056583528,0.042644337,0.070389328,0,0
ABBA01031674.1,0,0,0,0,0,0
ABC12-47043100G14.2,0,0,0,0,0,0
ABC12-47964100C23.1,0,0,0,0,0.097610797,0
ABC12-49244600F4.4,0.485426827,0.286881148,0.40053793,0.111031312,0.286881148,0.084064265
ABC14-1080714F14.1,0,0,0,0,0,0
ABC7-42391500H16.2,0,0,0,0,0,0
ABC7-42418200C9.1,0,0,0,0,0,0
ABC7-43041300I9.1,0,0,0.310340121,0,0.464668267,0
ABC7-481722F1.1,0,0,0,0,0,0
ABCA1,0.084064265,0.137503524,0.124328135,0.084064265,0.084064265,0.124328135
ABCA10,0.042644337,0.056583528,0.014355293,0.378511623,0.443606651,0.286881148
ABCA11P,2.498250868,2.443606651,2.214124805,2.918386234,2.488000771,2.560714954
ABCA12,2.014355293,1.879705766,1.655351829,0.378511623,0.321928095,0.275007047
ABCA13,0,0,0,0,0,0.014355293
ABCA17P,0.713695815,0.250961574,0.895302621,0.35614381,0.632268215,0.286881148
ABCA2,6.704318678,6.478001056,6.6387979,6.160678213,6.046141782,6.031880366
ABCA3,6.053980168,5.204766751,5.360364277,4.114367025,3.914564523,3.850999395
ABCA4,0.23878686,0.250961574,0.084064265,0.333423734,0.056583528,0.014355293
ABCA5,2.837943242,2.853995647,2.811471031,2.121015401,2.09423607,2.367371066
ABCA6,0.028569152,0.028569152,0,0.097610797,0.056583528,0.042644337
ABCA7,3.723558561,3.092545742,3.436961338,3.708187236,3.378511623,3.613531653
ABCA8,0,0,0,0,0,0
ABCA9,0,0,0,0.014355293,0.014355293,0.028569152
ABCA9-AS1,0,0,0,0,0,0
ABCB1,0,0,0,0,0,0
ABCB10,2.837943242,2.948600847,2.786596362,3.410069692,3.49441561,3.279471296
ABCB10P1,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0
