"","SUM44_P1","SUM44_P2","SUM44_P3","SUM44_TamR1","SUM44_TamR2","SUM44_TamR3"
"43891",8.36809,8.27101,8.27705,8.59291,8.35431,8.5396
"43892",8.92512,8.85882,8.76522,9.17637,9.05246,8.59348
"43893",5.68318,5.89165,6.07803,5.85219,5.89527,5.57876
"43895",9.41498,9.44072,9.23361,9.18379,9.34414,8.90387
"43896",10.5237,10.5258,10.2381,9.54365,9.59838,10.0366
"43897",7.30411,7.63854,7.37936,6.8026,6.83813,7.1134
"A2M",4.59811,4.4591,4.42128,4.51772,4.46175,4.93079
"AAAS",7.40829,7.47868,7.51066,7.66602,7.63966,7.36523
"AACS",8.46183,8.55317,8.41712,8.78069,8.69457,8.30989
"AADAC",4.72181,4.76651,4.68487,4.72146,4.69234,4.73033
"AAGAB",8.45459,8.3876,8.49277,8.42948,8.4799,8.40025
"AAK1",6.67707,6.49029,6.58221,7.03968,6.92998,6.7907
"AAMP",9.2188,8.86567,8.98241,9.05028,9.15714,8.71471
"AANAT",4.35372,4.38186,4.36623,4.52801,4.3083,4.37886
"AAR2",7.89088,7.72986,7.77648,8.1679,8.20195,7.68954
"AARS",11.6765,11.237,11.3634,11.455,11.8841,11.2964
"AASDHPPT",7.86331,7.84121,7.6488,7.24095,7.1538,7.55051
"AASS",4.10201,4.11175,4.04714,4.07516,4.09339,4.3638
"AATF",7.9916,7.97021,8.10382,8.06384,8.06124,7.72573
"AATK",6.81154,6.65517,6.57646,6.73713,6.81593,6.78459
"ABAT",8.47099,8.33383,8.35176,7.64274,7.76317,7.35686
"ABCA1",5.02877,4.89672,4.8793,5.04192,5.00855,4.92757
"ABCA12",7.36692,7.0425,6.59912,6.83369,6.82407,6.15789
"ABCA2",5.43793,5.50004,5.44727,5.44975,5.47393,5.67227
"ABCA3",7.92919,8.00558,8.34733,9.25666,9.33752,9.00643
"ABCA4",8.44987,8.19362,7.7835,7.69653,7.79205,7.0668
"ABCA5",4.80929,4.621,4.62511,4.92822,4.72665,4.68566
"ABCA6",3.67741,3.77327,3.88715,3.77476,3.70547,4.10522
"ABCA8",3.56216,3.708,3.58088,3.56734,3.78494,3.66996
"ABCB1",4.06656,3.98461,3.82588,4.24314,4.08641,4.29589
"ABCB11",4.67355,4.48359,4.4418,4.45681,4.63714,4.79748
"ABCB4",4.63635,4.67397,4.55668,4.81021,4.54756,5.12432
"ABCB6",8.46619,8.17981,8.48741,8.53837,8.50329,8.2415
"ABCB7",7.20649,7.24351,7.4796,7.03078,7.32383,7.22162
"ABCB8",5.91011,5.91465,6.22561,5.95066,5.77116,5.94386
"ABCB9",6.50744,6.30059,6.16036,6.5102,6.38196,6.79602
"ABCC1",9.11108,8.67241,8.38819,8.87973,8.82564,8.42198
"ABCC10",8.48226,8.27712,8.1479,8.40545,8.4523,7.71255
"ABCC2",8.40099,7.72228,7.55699,8.21584,8.44154,7.93428
"ABCC3",5.57596,5.66555,5.46917,5.59868,5.48842,5.61118
"ABCC4",4.41385,4.17783,4.04846,4.42811,4.2388,4.29217
"ABCC5",8.31259,8.31774,7.85234,8.02343,8.27157,7.83526
"ABCC6",4.96252,4.69079,4.72174,4.8623,4.73133,4.87356
"ABCC8",7.35353,7.23533,7.15853,8.30496,8.21045,7.58937
"ABCC9",4.63531,4.58186,4.56852,4.58369,4.46608,4.54647
"ABCD1",7.45534,7.46308,7.11221,7.7966,7.64195,7.24512
"ABCD2",3.55406,3.72398,3.75835,3.61456,3.67861,3.67083
"ABCD3",11.624,11.8017,11.9176,11.0893,11.1029,11.468
"ABCD4",6.40575,6.41181,6.28911,6.79358,6.78789,6.84767
"ABCE1",8.38243,8.78668,8.79093,8.34294,7.82953,8.25766
"ABCF1",9.98518,9.68025,9.78243,9.69795,9.72677,9.42785
"ABCF2",8.9642,8.90349,9.02768,9.12867,9.11551,8.57508
"ABCF3",8.20411,7.95275,7.93396,8.22848,8.31789,8.01254
"ABCG1",8.30096,8.65996,8.39729,8.39052,8.54881,7.91179
"ABCG2",4.6597,4.50628,4.3793,4.39693,4.26556,4.50829
"ABCG4",5.93079,5.95888,5.82171,5.9157,5.91792,5.85456
"ABHD10",7.7359,7.7094,7.83441,7.50456,7.65205,7.77758
"ABHD2",6.18558,6.2638,6.39457,6.31365,6.2768,6.20675
"ABHD3",7.4697,7.41637,7.58356,7.75198,7.80102,7.71212
"ABHD4",7.8253,8.00615,7.42995,7.84029,7.62652,7.43593
"ABHD5",7.52841,7.53826,7.39487,7.67931,7.86557,7.26001
