,T47.D_0h_1,T47.D_0h_2,T47.D_24h_13,T47.D_24h_14,BT.474_0h_15,BT.474_0h_16,BT.474_24h_25,BT.474_24h_26
A1CF,4.5703,4.6647,4.2353,4.3796,4.0437,3.9485,4.1766,4.0566
A2M,4.3962,4.1408,3.9414,3.9836,3.8394,3.9789,3.8612,3.5568
A4GALT,5.3017,5.5684,5.2881,5.4812,5.5843,5.4079,5.3505,5.5686
A4GNT,4.3908,4.224,4.3223,4.1626,4.1448,4.1232,4.2786,3.9802
AAAS,7.1881,7.8254,8.5736,8.1954,7.7048,7.4616,7.3529,7.5518
AACS,8.2424,7.954,9.0359,8.5534,8.2366,8.2542,8.268,8.101
AADAC,4.3936,4.461,4.3416,4.2733,4.1251,4.1736,4.3165,4.1497
AAGAB,9.3011,8.9244,9.0499,9.0044,8.6208,8.875,8.6413,8.6838
AAK1,6.932,7.0299,6.7846,6.8372,6.8603,7.1263,6.7546,6.6702
AAMDC,7.9315,7.7371,7.6966,7.4179,7.4196,7.3337,6.9135,7.1179
AAMP,6.9554,7.6833,8.7553,8.6807,9.1632,8.9673,9.0785,8.9937
AANAT,3.9343,3.8402,3.7553,3.6757,3.9086,3.6071,3.8022,3.6061
AAR2,8.9685,8.6417,8.7384,8.6867,8.305,8.3372,8.3362,8.4586
AARS,9.3938,9.35,11.197,10.9585,10.2876,10.0515,10.3817,10.2735
AASDHPPT,9.5795,9.2789,9.0461,9.3573,8.851,9.3414,9.2183,9.3096
AASS,4.2186,4.5682,3.9703,4.0665,4.1711,4.1558,3.8812,4.291
AATF,8.2981,8.3207,9.3552,9.1898,9.2065,9.2896,9.4485,9.5091
AATK,5.9411,6.1057,5.9761,6.0086,6.0239,5.8199,5.494,5.8621
ABAT,8.6068,8.2905,9.1237,9.3121,8.2123,8.1966,9.0206,9.0492
ABCA1,4.5919,4.4684,4.1643,4.1899,3.9633,4.2749,4.1482,4.1739
ABCA11P,5.3723,4.8612,5.385,5.3787,6.1125,6.1655,6.1602,5.861
ABCA12,7.0474,7.2412,7.9117,7.8075,3.8529,3.807,4.3097,4.1704
ABCA2,6.4469,6.1432,7.6032,7.2006,6.4018,6.4203,6.1315,6.0257
ABCA3,7.3227,6.7478,8.2362,8.0394,6.6772,6.6534,6.3977,6.4123
ABCA4,5.0303,5.2808,4.7057,4.8464,5.6263,5.3288,4.9813,4.7544
ABCA5,8.0648,8.1282,7.4095,7.4972,5.5808,5.8867,5.3249,5.5267
ABCA6,3.671,3.634,3.5478,3.5823,3.6849,3.6759,3.5257,3.369
ABCA7,5.304,5.6851,5.7959,5.6961,5.2395,5.011,5.1471,5.278
ABCA8,3.5346,3.4607,3.2916,3.4143,3.3204,3.468,3.3473,3.2928
ABCB1,3.637,3.6525,3.5352,3.4687,3.3548,3.4518,3.422,3.429
ABCB11,4.3905,4.7095,4.8212,4.8344,4.2883,4.3371,4.2813,4.3371
ABCB4,4.2819,4.3862,4.1562,4.0896,3.9867,3.943,4.0655,4.2245
ABCB6,7.3062,6.7757,7.7149,7.3472,7.5111,7.2978,7.8609,7.6179
ABCB7,6.949,6.4819,6.8991,6.8186,7.4477,7.4093,7.2293,7.5403
ABCB8,5.5989,5.5493,5.4884,5.6539,5.5594,5.5558,5.4358,5.6269
ABCB9,5.8715,5.9735,5.8972,5.5388,5.6622,5.6622,5.3688,5.6345
ABCC1,8.2213,7.3438,7.6088,7.6027,7.2105,7.2133,7.5421,7.3837
ABCC10,7.0964,6.7048,7.0701,6.7609,7.8691,8.1697,8.3227,8.3741
ABCC2,4.5756,4.6983,4.1738,4.4118,6.2336,5.7845,6.4439,6.58
ABCC3,6.7681,6.3833,5.9249,6.0739,10.7329,10.5767,9.7336,9.9576
ABCC4,4.2391,4.2738,3.8019,4.4449,5.0671,4.8151,4.7633,4.631
ABCC5,9.1317,9.0909,8.5402,8.6781,9.7618,9.5247,9.5738,9.3711
ABCC6,7.5717,6.7715,6.9931,6.5177,4.215,4.145,4.4873,4.5504
ABCC8,5.2312,5.152,5.1792,5.2466,5.3483,5.294,5.3806,5.6196
ABCC9,4.0779,4.3696,3.8579,3.8815,4.0416,4.0135,3.832,3.8333
ABCD1,6.0246,5.9002,5.4916,5.7085,5.6595,5.3815,5.6134,5.1775
ABCD2,3.2293,3.3448,3.046,3.0818,3.2121,2.9981,3.0964,3.1313
ABCD3,8.421,8.3246,8.4579,8.9021,8.9509,9.1775,8.918,9.0273
ABCD4,7.7419,7.3466,7.5351,7.3089,7.4551,7.147,7.2765,7.3339
ABCE1,7.8759,8.0162,8.9583,9.379,8.8854,8.7254,9.3986,9.3849
ABCF1,9.0719,8.5706,9.7023,9.5758,9.3072,9.3794,9.4792,9.2575
ABCF2,7.0538,7.2714,8.6735,8.3824,8.6467,8.4103,8.5589,8.6915
ABCF3,7.9225,7.9562,8.6354,8.3963,8.0509,7.9117,7.8324,7.9592
ABCG1,6.3035,5.8081,5.3886,4.9927,5.5289,5.9827,5.4086,5.0345
ABCG2,3.9099,3.746,3.7354,3.7091,3.6311,3.6585,3.5799,3.3913
