,MWV1,MWV2,MWE1,MWE2
FAXDC2,2.918751635,2.898211902,2.951106273,3.804420693
ANKRD22,0.822536472,0.929722166,0.693142732,1.751999525
STEAP4,0.670082101,0.929722166,0.387804595,1.262686236
ATXN1,4.022547023,4.64444787,4.504039342,5.171500913
PQLC3,6.366697243,6.00501778,6.241924141,6.031818273
DSC2,5.035826097,5.188734704,4.758083072,5.004959856
SH3PXD2A,1.871936599,2.130379825,1.587175572,2.169460757
GRHL1,4.838313258,5.056370737,4.771720387,4.943199586
SYDE1,3.562949684,2.789118428,3.17287501,2.47897951
RHOB,8.897860161,8.705630663,8.942438683,8.408404044
ELL2,3.016846107,3.104544083,3.197334244,3.569542579
PERP,7.953095064,7.624283343,7.785167338,7.652664543
GOLM1,3.43473688,4.086336052,3.489109752,4.011183432
SH3RF2,0.869973177,0.625687074,1.682665899,1.500808124
SLC18B1,2.503397528,2.384853621,2.951106273,2.919628654
TNFSF10,0,0.164341623,0.072311833,0
TRIM55,0,0,0,0
C21orf58,5.632083239,5.572060659,5.757459224,5.154160075
ACHE,5.98028322,4.777332709,4.997422698,3.358636406
ARHGAP10,6.221100971,6.170029228,6.062717101,5.950024714
EPGN,0.235542107,0,0,0
ZBTB42,7.345921652,7.250208171,7.0276512,6.78690927
ACKR3,6.024189452,6.817449805,6.428253511,7.208860487
FOLR1,0.558689664,0.084509627,0.387804595,0.343827804
NFE2L1,8.102069259,8.225246215,8.097146957,8.30760396
KIT,0,0,0,0
DIAPH2,2.929986253,2.977702917,2.201009554,2.098708129
MESP1,2.660032216,2.433998579,2.51823623,2.909329465
DBN1,6.942703913,7.172096916,6.946407278,6.929417422
SOWAHB,4.664251672,3.84120102,3.731686533,3.00915513
TRIM45,6.411469773,6.038505655,6.05046205,5.121073292
MAB21L3,0.082861088,0.311862404,0,0.281307171
SLC16A14,5.851791445,5.727977899,5.692983356,5.322732634
NFRKB,5.625187932,5.691392075,5.626991941,5.203463663
LAMC2,2.849442264,2.316609213,3.508787177,4.20046615
DKK1,9.965197578,9.889228915,9.638311328,9.392365314
COL18A1,7.653528094,7.674991913,8.303220277,8.486904704
ZDHHC23,5.209525812,5.145129058,5.508191621,4.995254164
PPP1R3C,6.923862362,6.923781936,6.304244773,5.780975415
SLC11A2,6.96608555,7.272333426,6.516756603,6.805772141
ACPP,1.045508901,0.974702857,0.548536515,0.147499166
MFGE8,2.686770403,2.643503634,2.642196561,2.450850182
APBB2,6.639873287,6.506969466,6.635627719,6.231038393
HNMT,2.813497569,2.763712899,2.810199676,3.700742116
PACS1,7.896235021,8.082923597,7.794549762,7.540771014
FNDC3B,5.347884885,5.449947917,5.946079674,5.951280236
RTN4,7.725007927,7.958984401,8.162013514,8.576077943
