,TWV1,TWV2,TWE1,TWE2,TSV1,TSV2,TSE1,TSE2,TGV1,TGV2,TGE1,TGE2
IDS,5.662167949,5.625026446,5.625465363,5.636313416,6.774768791,6.440493709,6.682792626,6.621652254,5.591855432,5.786448843,5.845867742,5.705748683
IRS1,3.856863446,3.522350911,4.19339865,4.660786602,5.238515506,5.661819522,5.427952521,6.0943422,4.264212328,4.23179428,5.058884999,5.120977177
SLC16A3,2.128357109,2.049532355,2.062054706,2.046157443,3.01259725,3.560202586,3.053848981,3.416137395,2.30063158,2.33143819,2.077813356,2.478270101
PROM2,7.230172829,7.224619627,7.162567843,7.152027639,6.515857168,6.303854002,6.163605435,6.304043952,6.936334568,6.866198801,6.760762645,6.776291928
KCNB1,5.529427028,5.42248621,5.048819933,4.660786602,3.049453581,2.344378895,2.700441731,2.053967503,5.661907889,5.582568922,5.016262319,4.847613404
LFNG,1.530284592,1.149876631,1.371783557,1.572845655,2.551540477,2.681458534,2.579228112,2.686003365,2.032271942,1.770887853,2.192511787,1.829891242
DUSP8,5.555867557,5.421243121,5.419554876,5.397040764,4.62216098,4.444208673,4.534475006,4.372391899,5.338036881,5.281031818,5.103545698,5.13392771
ARHGEF25,1.659104164,1.330244024,1.572477268,1.379778893,2.623145421,2.168573396,2.301171431,2.399377612,1.31655391,1.46700156,1.114006177,1.283592094
GSR,7.648421074,7.698643344,7.292259462,7.122239636,6.744984772,7.022763212,6.824363439,6.75104459,7.518939011,7.773374575,7.284945464,7.460183718
RCAN1,8.849364157,8.884995514,8.26609093,8.311322379,7.18788682,8.009358925,7.339192547,7.721478826,8.745736554,9.203093128,8.490151334,8.797387474
TRPM8,5.658319873,4.596754639,5.071092747,3.826894513,1.95004365,1.822182959,1.602666098,1.45380213,3.060816429,3.061075573,2.387049836,2.168788462
ALDH5A1,4.569920152,4.828219661,4.633346655,4.719098989,5.203903596,5.686031616,5.355970942,5.689874804,4.438829821,4.689890223,4.567237664,4.59009759
