,IRJ43,IRJ44,IRJ45,IRJ49,IRJ50,IRJ51
AC026407.1,6.11628543,5.47096237,5.008246385,5.175223704,5.398653931,6.066948327
ABHD17A,5.160093226,5.083431098,5.193976485,5.217098283,5.024046702,5.164302647
GRAP2,0,0,0,0,0,0
FAM173A,5.544644765,5.550095649,5.662301161,5.794231646,5.747753294,5.786430143
LCN6,0,0,0,0,0,0
TMEM42,3.347749586,3.604942257,3.464479431,3.459823593,3.398223806,3.416588926
HSF2BP,1.381106042,1.171498274,1.428566478,1.844149469,1.652699901,1.658587854
HOXC8,0.301773669,0.36142376,0.323626166,0.296863061,0.235993962,0.402476282
TMEM106C,8.792460478,8.82495109,8.82409918,9.046849023,9.234365853,9.024325747
MS4A1,0,0,0.057790943,0,0,0
FAM160A2,2.96722309,2.880068747,2.994749851,2.723768939,2.835041643,2.751686512
YIF1B,4.875599549,5.025193612,4.93448176,5.14157683,4.945069827,5.189947607
ZNF774,1.134082474,2.157518677,1.66682751,0.845456897,2.238918019,1.846053851
CDK9,5.561567173,5.496141725,5.535715896,5.601927098,5.56095082,5.595459815
CDC45,4.831070276,4.434863469,4.507232128,5.615062996,5.761625093,5.684389891
DCBLD1,2.766518436,2.834058861,2.8159836,2.746223496,2.606679759,2.590335104
RMI2,5.611584755,5.644810462,5.75730231,6.286627444,6.370392146,6.337828041
NDUFA12,6.947210292,6.953307051,7.016209952,6.928410152,7.333866184,6.841917707
PSMD8,7.526529679,7.62570451,7.651729426,7.740493143,7.683731223,7.743595877
GORASP2,6.213189841,6.23401009,6.278790969,6.155799799,6.09242149,6.131302098
CYB5D2,5.028282618,5.167930919,5.088722735,4.878583344,4.888658003,4.734179159
RPL32,11.5823732,11.58973725,11.61679502,11.95906541,11.94913134,11.90879829
WIZ,5.018490872,5.045617329,5.057929105,5.094399316,4.900381649,5.070849516
ZBTB18,0.36579359,0.523403128,0.464757445,0.338567779,0.147978856,0.163161864
CPA4,0.044609205,0,0.016827243,0.065103684,0.060859908,0.15244062
GAGE12G,0,0,0,0.038282714,0,0
AC024592.12,1.954053253,2.524380223,2.227292142,1.915693164,0.970988159,2.05240584
RIPK2,5.229433577,5.184131699,5.207298384,5.414720552,5.394851607,5.386475719
PCDHB5,0.386884604,0.161903056,0.293269346,0.349020486,0.240279215,0.144630049
MMP26,0,0,0,0,0,0
LRRC72,0,0,0,0,0,0
DCAF6,4.738233918,4.789653914,4.75843774,4.791006885,4.741835186,4.821138068
BRINP3,1.376446362,1.705029957,1.36280863,1.198225629,0.828759412,1.178533926
SBNO1,4.534245333,4.535552464,4.469587768,4.237801516,4.342955832,4.301728419
AOC1,0.033381883,0.087946034,0.084521214,0.14702138,0.080815013,0.135579243
RAD51AP2,0,0,0,0,0,0
CRHBP,0,0,0,0,0,0
POC5,4.152134532,4.242575682,4.248100949,4.162163441,4.358100817,4.373054225
MARK3,6.023979606,6.127645461,6.126785939,5.970412204,5.977243138,5.918244757
RASGEF1B,0.960533248,1.142903203,1.060946692,1.497657875,1.037583676,1.267615565
AL450307.1,0.628696671,0.586527074,0.585813266,0.632155222,0.398989203,0.61019668
GNRH2,0,0.959281051,0.075163065,0,0,0
KIAA0100,6.263048923,6.253841684,6.302526168,6.262787,6.19221523,6.269913772
CYFIP2,4.075895264,4.204482584,4.112950113,3.905223922,3.79553568,3.905650784
TMEM95,0.076762693,0,0,0,0,0
P2RY8,0,0,0.00531648,0,0.010127611,0
PGBD3,0.466522596,0.558405997,0.362708317,0.452498847,0.411539012,0
LYPD8,0,0,0,0,0,0
FBL,8.040108631,7.973359413,8.014379035,8.451888498,8.643685256,8.41975619
C1orf115,3.234749457,3.190037131,3.234264079,2.91434542,2.948121758,2.900064386
TRIM17,0.90430117,0.780543987,0.647793784,0.295000304,0.587652856,1.104766635
ARL15,4.254656793,4.246854777,4.064000633,3.414244353,3.641132448,3.315424714
SUV39H1,3.389150701,3.431717917,3.355669857,3.921823667,3.904348268,3.991366546
KRTAP4-16P,0,0,0,0,0,0
HAO2,0,0,0,0,0,0
ACER1,0.060008658,0.153075203,0.131211133,0.068544956,0,0
SYVN1,4.523835177,4.582898798,4.665368979,4.368989685,4.202495578,4.226404816
HBZ,0.253255038,0.171765801,0,0.150459075,0,0.179762182
INTS8,5.157497357,5.233616785,5.211944587,5.164898497,5.267721717,4.988788087
TAZ,3.962915009,4.123569889,4.055857386,4.532804515,4.266699617,4.433419565
SAP30BP,6.48517788,6.516309913,6.42303353,6.501592848,6.455763383,6.592633313
SUCNR1,0,0,0,0,0,0
GOT2,5.760405924,5.726056908,5.735451526,5.762734189,5.810196832,5.786021619
NR1I2,0,0.076689615,0.049405342,0.033868578,0.039041463,0.040787529
OR4C3,0,0,0,0,0,0
ENAH,4.502919275,4.456724315,4.395589691,4.555691592,4.631907508,4.548018648
ORMDL3,5.241401272,5.285595606,5.248263241,4.86274742,4.608096229,4.627443394
C18orf42,0,0,0,0,0,0
ZDHHC5,5.025487359,4.808497876,5.104366483,4.981789262,4.791125361,4.92071267
CA3,0,0.063252324,0.106005758,0.108262857,0.195957132,0.066313597
RTBDN,0.552406422,0.795802464,0.461319799,0.522142246,0,0.63920573
YTHDC1,6.124194697,5.888550214,5.842385489,5.808541602,5.875516793,5.836399343
MAP10,1.785356835,1.859942493,1.821668837,1.551031367,1.725015641,1.800229545
SH3PXD2B,2.27194662,1.905374641,2.049488399,2.171754526,2.096192834,2.024640653
UBE2I,7.161812788,7.228579866,7.259169201,7.41001779,7.375577034,7.375454863
TNFAIP2,2.719523431,2.555800618,3.010551978,2.383751664,2.455124067,2.359743232
GOLGA6L9,1.145626579,1.126136679,1.248653411,1.08730632,1.118192053,1.022309177
VAMP2,4.353532611,4.365518164,4.320163308,4.382290106,4.239023983,4.224171083
FBXO25,5.024583116,4.802874039,4.95150408,4.903351682,4.94193705,4.770112711
AGBL2,2.066990867,2.028652364,2.238550299,2.145592509,1.872635826,2.292239436
DLGAP2,0.059886844,0.059201084,0.051043146,0.051591968,0.008150565,0.041675367
GPAA1,6.727955385,6.707726521,6.7228399,6.864867042,6.833436474,6.895913121
TCF25,7.994359509,8.004456265,7.957630427,7.63179049,7.783349573,7.708724418
SCUBE1,0.036568961,0.041057907,0.247859912,0.017991411,0.039072804,0.021691054
ATP8B1,4.194822469,4.095140408,4.246791216,4.119873611,4.087189801,4.26034439
GPR89C,3.733692142,3.751257974,3.871165093,3.884954713,3.742469234,3.917149107
OR2V1,0,0,0,0,0,0
SH3BP5L,4.105831863,4.214666853,4.176693118,4.110805948,4.081627399,4.120490685
KCNH6,0.07570147,0.10293962,0.029937017,0,0.028566312,0
POMT1,5.297891506,5.432749232,5.398183506,5.26403294,5.11028473,5.249548216
FNBP1L,4.140109706,4.262027095,4.079842097,3.726129954,3.834755133,3.900797211
OR2Z1,0,0,0,0,0,0
SLAMF1,0,0.057535354,0,0,0,0
AGAP10,1.7194784,1.661284268,1.719143836,1.599286765,1.613474821,1.597197539
MMP17,4.84970173,4.951122747,4.887173695,5.039463078,4.906687024,5.072995581
ANKRD33,0,0,0,0,0,0
VIPR1,2.504977438,2.570940799,2.604791431,2.386013271,2.06639729,2.316820047
TSC22D4,6.148445109,6.230049425,6.126823261,5.909289722,5.856074995,5.96779411
PDS5B,4.732519436,4.74315371,4.724631274,4.358367961,4.500995148,4.674093779
PRR20D,0.018384268,0,0,0,0,0
YY1AP1,5.509915674,5.646019044,5.735357384,5.966966169,5.721705458,5.751965416
WDR83,3.660420325,3.826532524,3.692194739,3.682089601,3.912463329,4.151407218
CCIN,0,0,0,0,0,0.05926952
PEBP4,0.106995343,0.48004385,0.229685221,0.338669595,0.318433906,0.27850696
CAPNS1,9.566383969,9.672180706,9.748186492,9.555220761,9.496171522,9.390147981
LEP,0.023418788,0,0,0,0,0.032288993
UCK2,4.47319919,4.545464549,4.644128219,5.23321048,5.178520626,5.190633049
RTCB,6.00153105,6.042455803,6.031792977,5.811022671,5.9093654,5.810953334
TIMMDC1,6.151874404,6.067342881,6.144675336,5.906672399,6.11496814,6.035449397
UGT2B10,0,0.111543423,0,0,0,0.238300476
TMEM150B,0,0,0,0,0,0
OR9A2,0,0,0,0,0,0
PIGV,4.14362684,4.348512548,4.224835505,4.561744369,4.433435503,4.286811855
TMEM183A,6.152888094,6.083238733,6.164056039,6.079386496,6.03316932,6.096154575
HGF,0,0,0.007334236,0,0,0
BIRC8,0,0,0,0,0,0
HEPHL1,0.193169506,0.233049215,0.178766638,0.144725394,0.219288339,0.17297721
ZBTB38,3.597254196,3.501854213,3.541406146,3.745523685,3.594100081,3.595927613
TGFB1,4.948125989,4.9737637,4.901387404,5.060321563,4.970533782,4.961146898
AAMDC,5.122864987,5.028375641,5.045608682,5.134822055,5.269651335,5.326767841
C16orf11,0.073608083,0.048919112,0,0,0.03982478,0.051298912
HOXA5,2.152158837,2.070954033,2.16850262,2.166629129,2.286259581,2.205061045
AP000695.1,0.087240397,0,0.253562495,0.146817419,0.137494801,0.147653268
ZRSR1,1.169987404,1.259810439,1.134646003,0.891970417,0.882805661,1.002292866
C10orf11,0.815426279,0.678758818,0.674614321,1.214219173,1.20965034,0.609211277
HTR1A,0,0,0,0,0,0
CGB7,0.257156722,0.064961528,0.229445673,0.290158217,0.22245179,0.101391956
KREMEN1,2.490562626,2.497819181,2.58132773,2.525619631,2.408174805,2.52439416
PSMD10,6.116063103,6.038441934,6.012829338,5.990509172,6.159547245,6.090841792
TRMT10C,4.472757264,4.606001753,4.583106897,4.523157802,4.634560105,4.541105703
RMDN2,1.265396962,1.696922307,1.565328893,1.512747851,1.365940566,1.386816194
TM9SF2,5.820837761,5.827536349,5.76738497,5.43681855,5.539442936,5.562379916
TNFAIP8L3,0.922605589,0.743603305,0.992374043,0.887602715,0.77519586,0.474316194
MTMR10,2.858514219,2.662307215,2.716165562,2.893778704,2.410982609,2.674773945
ENGASE,2.936256947,2.930368543,3.086515954,2.908077901,2.818102825,2.947679338
CAPRIN1,6.933152851,7.045969665,6.940724148,6.845095923,6.85192096,6.794553706
ZNRF1,6.713235345,6.827627569,6.780344057,7.411999127,7.320986636,7.508681256
NPIPB15,1.372197189,1.415369385,1.561412158,1.205940288,1.208788278,1.484226404
HAL,0.11235195,0,0.215210388,0.287369404,0.021725292,0.122457994
PGLS,6.466328741,6.50550291,6.503255155,6.523948574,6.323257286,6.518854714
SCRG1,0.044326632,0,0.039810579,0,0.019128028,0.02469013
