,IRJ7,IRJ8,IRJ9,IRJ13,IRJ14,IRJ15
AC026407.1,5.868578128,6.269966646,5.145661258,6.229874327,6.012316134,5.951839861
ABHD17A,5.39299445,5.154724537,5.354153766,5.784426538,5.809299703,5.738803094
GRAP2,0,0,0,0,0,0
FAM173A,5.136810508,4.842885912,4.96678345,5.248969265,5.484717971,5.186115713
LCN6,0,0,0,0,0,0
TMEM42,3.733995743,3.418777305,3.742422023,3.25471436,3.010952856,3.247549162
HSF2BP,1.243257057,1.253933359,1.248525183,1.277468654,1.270345541,1.938286912
HOXC8,1.243257057,1.253933359,1.248525183,0,0,0
TMEM106C,9.887507112,9.965089264,9.909048371,9.671724834,9.740416548,9.653616913
MS4A1,0,0,0,0,0,0
FAM160A2,3.202252029,3.218695234,3.410326004,3.021597575,3.010952856,2.736606163
YIF1B,5.191816045,4.975812058,4.96678345,5.302011244,5.438485819,5.186115713
ZNF774,1.900972127,2.709209082,2.701313152,1.277468654,3.010952856,2.736606163
CDK9,5.527373341,5.410993215,5.49286235,5.627038009,5.772501883,5.619194376
CDC45,4.515837384,4.349698317,4.239382256,5.54139853,5.290174446,5.577014816
DCBLD1,2.351054822,1.914493786,1.907647602,2.398459277,1.935228395,2.39197511
RMI2,5.726785039,5.587570748,5.659223234,6.202236801,6.133347198,6.301840605
NDUFA12,7.470738352,7.752619317,7.696255496,7.437294766,7.437024501,7.830358256
PSMD8,7.448323858,7.273560099,7.302521838,7.636294286,7.71427721,7.554168232
GORASP2,5.726785039,5.628533473,5.536285311,5.707877467,5.809299703,5.776566117
CYB5D2,4.957966767,4.842885912,4.96678345,4.810367039,4.723530165,4.94210539
RPL32,11.74352204,11.65758842,11.62959131,11.93985755,11.9324137,11.90706257
WIZ,4.230757106,4.139051209,4.130256238,4.735218222,4.798655745,4.47532957
ZBTB18,0,0,0,0,0,0
CPA4,0,0,0,0,0,0
GAGE12G,5.439192199,5.313877517,5.30478681,5.707877467,5.615138859,5.619194376
AC024592.12,1.243257057,1.253933359,0,1.277468654,1.270345541,1.27277062
RIPK2,4.121669088,4.139051209,4.130256238,4.482976671,4.376478395,4.56437962
PCDHB5,4.332173241,4.349698317,4.340831232,4.058789173,4.047374939,4.051264754
MMP26,0,0,0,0,0,0
LRRC72,0,0,0,0,0,0
DCAF6,5.39299445,5.410993215,5.401887198,5.45035282,5.237144043,5.533564831
BRINP3,0,0,0,0,0,0
SBNO1,4.678738357,4.842885912,4.68749264,4.482976671,4.471376078,4.648251168
AOC1,0,0,0,0,0,0
RAD51AP2,0,0,0,0,0,0
CRHBP,0,0,0,0,0,0
POC5,4.230757106,4.349698317,4.239382256,4.058789173,3.918570694,4.47532957
MARK3,5.868578128,6.046374415,6.096414116,5.627038009,5.529514471,5.700024982
RASGEF1B,0,0,0,0,0,0
AL450307.1,0,0,0,0,0,0
GNRH2,0,1.253933359,0,0,0,0
KIAA0100,6.938895248,6.9571807,6.813200307,7.206385981,7.314385237,7.198434268
CYFIP2,5.799422872,5.886699342,5.80836868,5.45035282,5.484717971,5.241174296
TMEM95,0,0,0,0,0,0
P2RY8,0,0,0,0,0,0
PGBD3,0,0,0,0,0,0
LYPD8,0,0,0,0,0,0
FBL,7.215979176,7.138278615,7.056306861,7.755181569,7.852919668,7.830358256
C1orf115,4.121669088,4.139051209,4.012195449,3.788392754,3.777129306,3.780967602
TRIM17,2.970231369,3.218695234,3.210373997,3.021597575,3.010952856,2.736606163
