hugo,MWV1,MWV2,MWV3,MWE1,MWE2,MWE3
TSPAN6,5.137443683,5.205010322,5.109655964,5.171930996,5.158442543,5.192918054
DPM1,6.952634446,6.970876541,6.796579624,6.946511796,7.013813154,7.022237565
SCYL3,2.912833399,2.991508241,2.901516273,2.849914216,2.868638372,2.798186377
C1orf112,2.627182371,2.475580919,2.554269827,2.557761255,2.704840322,2.6943511
FUCA2,5.51517517,5.573743546,5.460910705,5.699792052,5.763378322,5.674603016
GCLC,5.193249519,4.709407304,5.001147496,5.188896825,5.041470265,5.100145378
NFYA,5.138863606,5.14218468,5.232012166,5.168092417,5.261850459,5.232150352
STPG1,1.80514467,2.060454429,1.670440096,1.862485591,1.641032403,1.866944762
NIPAL3,2.212361775,2.181948037,2.053353828,2.41094449,2.231129798,2.335370059
LAS1L,4.97074462,4.875566542,4.863656032,5.209133988,5.227916397,5.184163676
ENPP4,2.013004813,1.990871381,2.093364108,1.849118567,2.108511075,2.062954062
SEMA3F,4.074240053,4.083358567,4.104149433,4.293703013,4.195232785,4.082180983
CFTR,1.986920567,1.810049337,2.146348926,1.306401019,1.420424488,2.190761575
ANKIB1,5.497387737,5.552522047,5.509519041,5.51182168,5.541805821,5.446606802
CYP51A1,6.752867652,6.771791584,6.696862967,6.740007158,6.838843384,6.82725512
KRIT1,4.713978443,4.479833348,4.686644341,4.476799335,4.741239211,4.593608781
RAD52,3.369748016,3.167424681,2.798686156,3.132766536,3.06601441,3.085580084
BAD,5.491608523,5.656454983,5.502100722,5.373899113,5.423491781,5.500917802
LAP3,6.102595233,6.246425532,6.193825901,6.31805895,6.399951815,6.302869901
CD99,6.323983426,6.378721908,6.408727415,6.31687594,6.426632595,6.39343507
MAD1L1,4.152823848,4.272125787,4.289540807,4.455838575,4.360675609,4.243632975
LASP1,6.784631142,6.812524941,6.83479376,6.565568712,6.547372238,6.571175253
SNX11,4.963273936,4.90631321,4.955698026,4.837597609,4.887668544,4.863967482
M6PR,6.201235536,6.088451597,6.177440129,6.337297667,6.262690391,6.270540099
KLHL13,0.315255748,0.148512848,0.333159992,0.407454349,0.316305647,0.419122472
CYP26B1,2.275962368,2.135114542,2.281226423,3.359102737,3.483588926,3.373504839
ICA1,4.981446678,5.030290393,5.051179831,5.060223601,5.154973527,5.134717417
DBNDD1,7.24023453,7.175277174,7.237304652,7.17997008,7.132600089,7.183083802
ALS2,3.74986546,3.95490397,4.026318313,3.529755993,3.703504551,3.707763891
CFLAR,4.517508018,4.783253652,4.731456594,4.456055588,4.540278485,4.416032242
TFPI,4.789995651,4.874584185,4.88783761,4.411289496,4.487893658,4.396591698
NDUFAF7,3.668688055,3.855686979,3.786983015,3.576657331,3.788685815,3.853475245
RBM5,5.909781719,5.89475843,5.987300681,5.858507905,5.92836748,5.840105462
MTMR7,1.512702733,1.525658487,1.286549999,1.350663572,1.695938731,1.526515076
SLC7A2,5.396045335,5.430694941,5.461178615,5.561513137,5.530902313,5.49709644
ARF5,8.376171576,8.421666839,8.36055396,8.320434575,8.294423169,8.297081201
SARM1,3.07050285,2.902846927,2.733605543,2.9609081,2.464177615,2.607223441
POLDIP2,6.378789038,6.304478187,6.298863562,6.465894494,6.442853946,6.439146039
PLXND1,6.247068911,6.272754414,6.20281337,6.33184709,6.270713771,6.32842564
AK2,6.891161552,6.7913614,6.795608209,6.979623382,7.125048021,7.069123882
FKBP4,7.363425025,7.373154441,7.345805987,7.65252743,7.676624645,7.677919097
KDM1A,5.162331545,5.225748063,5.238269865,5.459766351,5.484295059,5.452757116
RBM6,4.515769464,4.364848619,4.327575278,4.391414907,4.354788351,4.400444957
CAMKK1,1.962438489,1.86539947,1.820157758,2.023767643,2.144159039,2.09157934
RECQL,4.126973021,4.169381324,4.08936001,4.184181889,4.232088707,4.151728955
VPS50,3.630941723,3.476650369,3.517362,3.416625348,3.476863931,3.45418591
ARHGAP33,2.327717367,2.312296322,2.28895737,2.947658639,3.023051089,3.252757308
NDUFAB1,8.028267073,8.006599925,7.925359882,8.09984682,8.167430691,8.111548238
PDK4,0.912128638,0.807185911,0.835943472,0.696765716,0.721727875,0.702529978
ZMYND10,0.98991916,1.534360472,1.336784673,1.132664224,0.826254376,0.932168341
ARX,0.997239649,1.001398736,0.933421563,0.928239172,0.936143781,1.029594233
SLC25A13,4.919892549,4.774861577,4.959305794,4.930931308,4.943661637,5.032445999
ST7,3.186226556,3.329456741,3.190982519,3.474385097,3.549683819,3.823062796
CDC27,5.469047068,5.660169077,5.532870614,5.558767714,5.655412655,5.526453542
CALCR,0.564363534,0.802121236,0.705186225,1.41291039,1.603841138,1.393644144
HCCS,4.999164347,4.958462654,5.031382403,4.910925024,4.927954511,5.051754043
DVL2,4.008782311,3.910017478,3.770807189,4.087643082,4.05227607,3.772065323
PRSS22,5.515569533,5.381966725,5.565535427,5.3965743,5.293288812,5.387168817
UPF1,5.747501814,5.772522531,5.812666993,5.847411682,5.846963457,5.785165377
