Hugo name,MCF7_1,MCF7_2,MCF7_3,MCF7_4,MCF7_13,MCF7_14,MCF7_15,MCF7_16
TSPAN6,3.836641202,3.771822208,3.937495057,3.939884763,3.743267209,3.869525986,3.783477608,3.909811499
TNMD,0.050722621,0,0,0,0,0.050032157,0.178427826,0
DPM1,6.174066799,6.198574694,6.168347193,6.216842843,6.247386401,6.36214372,6.241470312,6.355837346
SCYL3,2.872076195,2.943713203,3.119814314,3.065947929,2.698409639,2.449909956,2.449458368,2.551289598
C1orf112,2.905254614,3.107768203,3.173986077,3.102369228,3.461070114,3.520774236,3.667608326,3.680279342
FGR,0.082284978,0,0,0.1112091,0.060134981,0,0.099855743,0.090493457
CFH,0.075218524,0.348368409,0.186634932,0.181977764,0.031645176,0.41284763,0.362568637,0.071121344
FUCA2,4.560690502,4.523492956,4.682045111,4.866774481,4.863388417,5.231128999,4.930524465,5.006033161
GCLC,4.731161514,4.752555934,4.91831467,4.864379317,4.993601908,5.061517008,4.862069465,5.032352147
NFYA,2.934322116,2.960039013,2.94930894,3.077032733,2.826609499,2.931465596,2.737215159,2.910009215
STPG1,2.042367678,1.931119483,2.29785464,1.975494457,1.818097939,1.025780076,1.818621544,1.754823381
NIPAL3,2.885900349,2.787346786,2.889360615,2.862820325,2.371740059,2.443195531,2.362792478,2.387026093
LAS1L,3.336501918,3.276572595,3.4814927,3.478674178,3.825938232,3.937118365,3.524013512,3.751420872
ENPP4,2.213518373,2.194578796,2.178488381,2.321951178,1.85429892,1.864647733,2.005346088,2.192314122
SEMA3F,4.55942451,4.691684903,4.754908875,4.628114493,3.653186161,3.534211045,3.47811758,3.447129524
CFTR,2.554343266,2.698698556,2.417220628,1.894573333,1.793600448,2.004810572,2.589293696,1.757441482
ANKIB1,5.535707731,5.27350843,5.400274914,5.531690242,4.804074216,5.461819924,5.349287422,5.386848875
CYP51A1,6.61079749,6.518616965,6.668516288,6.797726365,6.972646708,7.194264383,7.052600654,7.158296629
KRIT1,5.543833009,5.60440052,5.516541559,5.373916125,5.289369719,5.378893055,5.529914625,5.420431873
