,t47d_01,t47d_02,t47d_03,t47d_04,t47d_17,t47d_18,t47d_19,t47d_20
TSPAN6,4.587875005,4.318121576,4.542672842,4.510063119,4.190203958,4.067974228,4.169876911,3.94287103
TNMD,0,0,0,0,0,0,0,0
DPM1,6.674319403,6.41238185,6.799229807,6.730449758,6.942127389,6.84797186,6.890142654,6.74666211
SCYL3,4.109368918,3.896320293,4.21622979,4.270656014,3.614191559,3.486688633,3.697762701,3.619119511
C1orf112,2.99592947,2.845604458,3.176167962,3.143016205,3.934110716,3.999891794,4.021994884,4.023042393
FGR,0,0,0,0,0,0,0,0.040628058
CFH,0.032081231,0.237859814,0.049263705,0.260695345,0.014311769,0.286406873,0.287402552,0
FUCA2,3.617216189,3.547042579,3.726144575,3.79049056,4.09597504,4.065606776,4.114350366,4.364523408
GCLC,4.272941383,4.356608666,4.444176722,4.549946349,4.626555949,4.333337856,4.554969427,4.566583817
NFYA,2.749399109,2.944337483,3.098065781,3.087585041,2.815136816,2.526582179,2.807987508,2.912389275
STPG1,2.638194346,2.001059991,2.272739878,2.515505574,2.015954227,2.443630519,2.179689386,2.29104358
NIPAL3,5.23601802,4.956930185,5.267711817,5.286600268,4.549287194,4.482338475,4.655306028,4.650224596
LAS1L,3.458921339,3.322246895,3.384501615,3.469977118,3.821934662,3.815493455,3.813155246,3.818932344
ENPP4,3.441333412,3.263175663,3.482086731,3.491121946,3.082903517,3.146324485,3.072865546,3.14018968
SEMA3F,4.291353068,4.085858012,4.391843317,4.326199357,4.325451179,4.224318164,4.432812459,4.294664856
CFTR,1.254321925,1.217193485,2.11517977,1.657607996,1.782928512,2.22180595,2.426860498,2.171626378
ANKIB1,4.523938262,4.713250402,4.903592675,4.789296274,4.342632965,4.207252553,4.465915711,4.551460647
CYP51A1,5.54633579,5.404194676,5.584713013,5.607203055,6.058632538,5.97908331,5.937798694,5.994986952
KRIT1,4.44907269,4.24487945,4.718860249,4.748751031,4.332192338,4.205431614,4.396995155,4.412076939
RAD52,3.445324133,3.576231877,3.972205547,3.531955305,3.410919044,3.428689128,3.690607058,3.630650094
MYH16,0.012714001,0.0221121,0.268168468,0.011658978,0.225344039,0.022411848,0.012513868,0.026321324
BAD,5.341718952,5.082046825,5.361263047,5.584033467,5.273642698,5.349970284,5.3368475,5.258714889
LAP3,4.277486411,4.158837876,4.597638434,4.446818639,4.62684794,4.568828651,4.705657267,4.601946055
CD99,5.040616311,4.92410939,5.071608234,5.13255628,5.160432164,5.059558618,5.04096693,5.012997664
HS3ST1,0.087190299,0.086303603,0.073125105,0.146308517,0.063580528,0.108207548,0.109386772,0.222175176
AOC1,0.120023016,0.156158413,0.274925968,0.131546552,0.058037005,0.176340647,0.203483089,0.461682564
WNT16,0.149298392,0,0.149562443,0.070130307,0,0.067401093,0.06259659,0.065599607
HECW1,0.523694427,0.856288567,0.04624881,0.017870611,0.235947582,0.369584854,0.027304401,0
MAD1L1,3.589080322,3.317301174,3.598115047,3.771653208,3.215322926,3.536550296,3.832667265,4.005813154
LASP1,6.060929338,5.807586765,6.08418335,6.199185476,5.853262141,5.78161413,5.870024351,5.863494972
SNX11,3.522984763,2.995846278,3.204837162,3.149010547,2.848633956,2.997227363,2.814839549,3.499259125
TMEM176A,0.089294342,0.077948175,0.093644951,0.165375591,0.085077198,0,0.088241618,0
M6PR,4.477755029,4.280748503,4.504722077,4.733907448,4.408446935,4.392303683,4.711902328,4.588546749
KLHL13,1.710353515,1.734360622,2.012046563,1.943171193,2.511885455,2.485568513,2.628467996,2.620874921
CYP26B1,0.038556425,0,0.05522037,0.017687211,0.036495034,0.148365372,0.037778742,0.078289975
ICA1,6.136133953,6.069141458,6.2508517,6.37340287,5.802826519,5.714707106,5.908097146,5.861002514
DBNDD1,3.236403834,2.915230229,3.204254988,3.398967324,3.574912872,3.658417159,3.605885416,3.733972506
ALS2,3.093316777,2.825527181,3.331855669,3.593365724,3.021334029,2.548572256,3.131054383,3.013631979
CASP10,1.25716152,1.211990277,0.865203029,1.438574975,1.084526942,0.836503461,1.120325396,1.530080733
CFLAR,5.148193863,4.958183802,5.29391485,5.377679059,4.878892061,4.758740227,4.988939124,5.026503524
TFPI,1.679275152,1.683417993,1.88691297,2.014487415,1.36651526,1.809616119,1.856368255,1.920133204
NDUFAF7,3.226785944,2.959974121,3.207519639,2.912964043,3.269383302,3.437745748,3.674923849,3.323847045
RBM5,5.349128159,5.537793034,5.512846316,5.474416574,5.168529722,5.143454645,5.484476525,5.426351985
MTMR7,0.436360156,0.331519494,0.36616608,0.491359546,0.397719738,0.239969873,0.534084518,0.346929666
SLC7A2,0.072825836,0.064919953,0.116323764,0.143073365,0.103479511,0.145023938,0.15088717,0.111216847
ARF5,5.877996945,5.475321637,5.924071374,5.914837156,5.742448225,5.720439911,5.742507509,5.762274393
SARM1,1.2829142,0.552314109,0.641006767,1.014926544,0.433863213,0.675888177,0.34608094,0.669669937
POLDIP2,5.50017743,5.176079377,5.534905128,5.561151976,5.747663988,5.714910378,5.706234911,5.642516747
PLXND1,5.109778429,5.113042003,5.19400429,5.357369017,4.706718406,4.613172113,4.901687522,5.018211309
AK2,6.237009141,6.09475967,6.31863861,6.403378511,6.491255055,6.43638008,6.470792259,6.639262557
CD38,0.182266417,0.230823989,0.25332735,0.322853431,0.079659915,0.075093766,0.062127654,0.127766781
FKBP4,6.052365896,5.841505224,6.065053093,6.170345726,8.207370678,8.175734164,8.226990118,8.244159251
KDM1A,4.700789252,4.516872438,4.843139681,4.781989116,5.027507957,5.039261246,5.251010824,4.965248657
RBM6,4.825393869,4.410802389,4.806324057,4.879480328,4.464583323,4.544868636,4.735262209,4.864948776
CAMKK1,2.17420825,1.9112659,2.141893778,2.117635206,1.649169362,1.513404838,1.680976911,1.848265383
RECQL,5.172735517,5.032228705,5.308772229,5.366941129,5.610159659,5.548972912,5.616028277,5.53960241
VPS50,4.244179234,4.15855516,4.558830885,4.419707421,4.290593967,4.074265652,4.566620347,4.332385708
HSPB6,0.1329366,0.040740966,0.128563436,0.160952448,0.126530203,0.218427811,0.251591857,0.189133797
ARHGAP33,1.740996618,1.935323958,1.808850428,2.524705623,1.972144877,2.270481101,2.566386543,2.914063129
NDUFAB1,7.068477349,6.780716915,7.186985785,7.217473084,7.388327324,7.354654911,7.367467172,7.424787753
PDK4,0.777297246,0.902465707,0.968872269,0.707697056,0.701136483,0.435846182,0.738840456,0.666647534
SLC22A16,0.648563,0.536957037,0.704286802,0.437385425,0.651010807,0.717481437,0.81646782,0.740916338
ZMYND10,3.734687946,3.304511042,3.865691211,3.7989422,3.508492038,3.463897055,3.273218965,3.577477169
ABCB5,0.087476827,0.125381183,0.148417439,0.147495572,0.10330238,0.014892847,0.084621228,0.077296877
ARX,0.061247262,0.284785353,0.193441226,0.081838757,0.2709439,0.304560104,0.199828736,0.244320827
SLC25A13,4.014774828,3.957933166,4.249672878,4.16459322,4.289959847,4.599085658,4.155765421,4.383013015
ST7,2.676314805,2.697642619,2.974958753,2.991047408,3.028645175,3.236934926,2.676594641,3.080623557
CDC27,5.453590008,5.000959974,5.413939281,5.339358334,5.512075149,5.496133148,5.541056336,5.520145627
SLC4A1,0.597127807,0.62118776,0.51393435,1.068333741,0.336975715,0.580517932,0.870442056,0.680614217
CALCR,0.136830284,0.071564028,0.182663062,0.187828544,0.71041788,0.819874151,0.77093558,0.862749719
HCCS,4.197425095,4.033211538,4.30228249,4.449455727,4.729764836,4.437467458,4.748375356,4.460034801
