,TWV1,TWV2,TWV3,TWE241,TWE242,TWE243
A1BG,0.144736109,0.146858073,0.431277951,0.079307934,0.353487475,0.04162307
A1BG-AS1,3.551973963,3.559125065,3.422384682,3.209550302,2.974133011,3.369814203
A1CF,0,0,0,0,0,0
A2M,0,0,0,0,0,0
A2M-AS1,0.144736109,0.192666629,0.097186689,0.326882425,0.187543151,0.082078874
A2ML1,0.826904397,0.836577126,0.930481122,0.451353236,0.187543151,0.268910934
A2ML1-AS1,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0
A3GALT2,0,0,0.049411558,0,0,0
A4GALT,2.43216233,2.135292739,2.353731042,3.937868403,4.011824241,3.880505408
A4GNT,0,0,0,0,0,0
AAAS,6.0008032,5.768353561,5.746372896,5.667971462,5.692037922,5.665646458
AACS,5.964692381,5.787138959,5.834458006,6.224488913,6.177571631,6.143527427
AACSP1,0.508036782,0.280138344,0.354725211,0.794639929,0.611197168,0.370400143
AADAC,0,0,0.049411558,0.040198863,0,0.04162307
AADACL2,0,0.099547167,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0
AADAT,0.18992518,0.23706532,0.188237589,0.260373635,0.530303141,0.268910934
AAED1,1.806326477,1.974133309,1.880838981,2.873664379,2.958758723,2.854943406
AAGAB,7.103482903,6.994928544,6.950890196,7.133241325,7.218485403,6.997111759
AAK1,4.566121619,5.167227269,5.06644596,5.125430576,4.692051221,5.447844965
AAMDC,4.261986857,3.889773373,3.806978288,3.123296377,3.429363931,2.895234583
AAMP,7.450765927,7.153180275,7.170569359,7.532704202,7.627457462,7.410978262
AANAT,0.049876268,0,0.049411558,0,0.039509781,0.121431099
AAR2,6.883022187,6.922011915,6.86466355,6.80136206,6.545785413,6.774507938
AARD,2.374611228,2.392456986,2.30370206,1.717517327,2.067955996,1.918675348
AARS,7.852951743,7.757680671,7.715590502,8.360662347,8.374957179,8.344045624
AARS2,4.91292971,5.027283241,4.931295808,4.990889212,4.966400369,5.162023743
AARSD1,0.233741691,0.40214038,0.468083039,0.480862497,0.5022981,0.159738359
AARSP1,0,0,0,0,0,0
AASDH,4.733800594,4.690662638,4.724388729,4.386822327,4.238814618,4.259129499
AASDHPPT,5.532057913,5.726143953,5.660530291,5.782745958,5.869688744,5.794489912
AASS,1.904479797,1.850981168,1.907881759,1.091003875,0.829774155,1.175466282
AATBC,0.357731154,0.514624895,0.538990761,0.225932964,0.151934335,0.159738359
AATF,6.475906863,6.190700245,6.26859468,6.812647703,7.15974879,6.933930219
AATK,1.849212379,1.777729697,1.737454969,0.593210291,1.169542967,1.038268139
AATK-AS1,0,0.099547167,0,0,0,0
ABALON,0.317573793,0.618969974,0.273881661,0.421227758,0.151934335,0.370400143
ABAT,5.60477317,5.845659452,5.852839876,6.845275534,6.631506618,6.901447226
ABCA1,2.758918588,3.55474658,3.360107377,1.032422129,0.829774155,1.137579873
ABCA10,0.098085699,0.050632018,0,0,0.039509781,0
ABCA11P,0.676262318,1.146935933,0.849105144,1.574289846,1.458994007,1.896161512
ABCA12,7.923211155,8.534196841,8.441638504,8.182426129,7.537612695,8.319007454
ABCA13,1.369006453,1.762622275,1.867125095,1.30409556,1.15162488,0.9752247
ABCA17P,0.317573793,0.40214038,0.231695053,0.19064996,0.222294194,0.159738359
ABCA2,6.699404249,6.949789309,6.973866098,7.182340709,6.843762493,7.350679481
ABCA3,7.115975666,7.24945406,7.340234569,8.079793971,7.874125821,8.246051584
ABCA4,0.317573793,0.514624895,0.956617438,0.746857299,0.444602415,0.664867491
ABCA5,4.326642851,4.631602375,4.513895199,4.018054384,4.046174743,3.996167143
ABCA6,0,0,0,0,0,0
ABCA7,4.081918272,3.903612391,4.020260523,3.798339629,3.69362655,3.697317142
ABCA8,0,0,0,0,0,0
ABCA9,0,0,0,0,0,0
ABCA9-AS1,0,0,0,0,0,0
ABCB1,0,0.050632018,0.097186689,0.079307934,0,0
ABCB10,4.612499042,4.818520211,4.724388729,5.215954535,5.203358581,5.172600188
ABCB10P1,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0
ABCB11,0,0,0,0,0,0
ABCB4,1.15779712,1.258834623,1.007511093,0.565932861,0.637184339,0.55418422
ABCB5,0,0,0,0,0,0
ABCB6,1.202585188,0.893164368,1.194832001,1.460398844,1.169542967,1.248378915
ABCB7,4.336724119,4.445474997,4.328680439,4.48838421,4.514165975,4.47388891
ABCB8,4.911244177,4.751231789,4.892897369,4.863654811,4.715109815,4.82323814
ABCB9,4.663452115,4.48972601,4.555105442,3.660071552,3.469694265,3.564417071
ABCC1,5.881055232,6.092171873,6.034823497,6.22721212,5.864198031,6.263813854
ABCC10,3.906900531,4.269624136,4.246321339,4.323080876,3.924829559,4.340591118
ABCC11,6.411191454,6.659911806,6.641674348,7.526748014,7.297251876,7.617969529
ABCC12,1.518200417,1.440681478,1.526824264,1.847800886,1.687581729,1.940843238
ABCC13,0.577698013,0.280138344,0.431277951,1.778199145,1.760327574,1.662690328
ABCC2,2.252127039,2.514715404,2.32392231,2.09681648,1.906386289,2.126371684
ABCC3,3.406412304,3.492010172,3.606977823,3.924507329,3.696719032,3.944989328
ABCC4,0.049876268,0,0,0,0.039509781,0.04162307
ABCC5,5.891351487,6.154264751,6.215467867,5.916313565,5.553062853,5.85118571
ABCC5-AS1,0,0,0,0,0,0
ABCC6,4.667451669,4.666516438,4.441711605,3.375851794,3.230339966,3.196393952
ABCC6P1,2.658005087,2.644001007,2.580751673,1.729859598,1.736484215,1.566165307
ABCC6P2,1.747087146,1.700559074,1.706985213,0.565932861,1.039175244,0.953582793
ABCC8,0.049876268,0.192666629,0.049411558,0.260373635,0.115424326,0.082078874
ABCC9,1.180364951,1.123475683,1.17270447,1.270694977,1.353218373,1.566165307
ABCD1,4.134874888,3.940999102,4.050911642,3.824471322,3.806716323,3.694058016
ABCD1P2,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0
ABCD1P4,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0
ABCD2,0,0,0,0,0,0
ABCD3,5.945057211,6.120592962,6.07862039,6.378921829,6.382064606,6.353823022
ABCD4,5.012192645,4.88455516,4.894588291,4.731795587,4.742302289,4.677381458
ABCE1,6.430147834,6.690667645,6.668112688,7.696319498,7.754944887,7.713412643
ABCF1,7.840606675,7.739470018,7.723698633,8.064495785,8.185566456,8.101327276
ABCF2,6.144028161,6.22003005,6.153264177,6.971798998,6.834315968,6.900740571
ABCF2P1,0,0.050632018,0,0,0,0
ABCF2P2,0,0,0,0,0,0
ABCF3,7.23056815,7.055840892,7.076126459,6.991153969,7.111901541,7.05033266
ABCG1,4.685313706,4.814863171,4.882710006,3.499944966,3.349090993,3.425900626
ABCG2,0.233741691,0.550251748,0.273881661,0.929168121,1.039175244,0.792254259
ABCG4,0.233741691,0.280138344,0.143430317,0.260373635,0.289381599,0.582661252
ABCG5,0.049876268,0,0,0,0.039509781,0
ABCG8,0.049876268,0,0,0,0,0
ABHD1,1.482323287,1.45954133,1.644044409,1.560535547,1.321515494,1.351272145
ABHD10,4.868452854,4.995328437,4.932942343,5.139376602,5.159202844,4.973276349
ABHD11,6.968576056,6.757917963,6.801624875,6.397415731,6.495174915,6.379918142
ABHD11-AS1,1.669444368,1.45954133,1.320911059,0.565932861,0.662711675,0.495486268
ABHD12,6.782424382,6.505131326,6.55076832,6.068020226,6.132035992,6.004419928
ABHD12B,0,0.099547167,0.188237589,0.421227758,0.151934335,0.303540032
ABHD13,4.102744113,4.541538228,4.370593503,4.438496795,4.574249964,4.48713058
ABHD14A,1.426777146,1.025622807,1.056670391,1.128777233,1.429555386,1.212383167
ABHD14A-ACY1,0.049876268,0.099547167,0.049411558,0.154482385,0.077966324,0.082078874
ABHD14B,6.355261994,5.97990107,6.07116343,5.992560373,6.202261662,5.947393315
ABHD15,5.024718451,4.836667634,4.793083757,4.853820367,4.793752921,4.846909701
ABHD15-AS1,0,0,0,0,0.039509781,0
ABHD16A,0.768521239,0.362608392,0.606576062,0.451353236,0.414865596,0.525133749
ABHD16B,0.049876268,0.280138344,0.049411558,0.079307934,0.151934335,0.04162307
ABHD17A,5.84266087,5.445478953,5.57137081,5.668773008,5.958037138,5.748886566
ABHD17AP1,0.049876268,0.099547167,0,0.19064996,0.077966324,0.04162307
ABHD17AP3,0.098085699,0,0,0.040198863,0,0
ABHD17AP4,0,0.050632018,0,0,0,0
ABHD17AP5,0,0,0.049411558,0,0,0.082078874
ABHD17AP6,0,0,0,0,0,0
ABHD17AP7,0,0,0,0,0,0
ABHD17AP8,0,0,0,0,0,0
ABHD17AP9,0,0,0,0,0,0
ABHD17B,3.699891765,3.751225387,3.725719903,3.566831278,3.610803259,3.200993457
ABHD17C,4.354198583,4.269624136,4.323668469,4.878974753,5.016760576,4.843971909
ABHD18,4.1319833,4.340013889,4.399462783,4.573024927,4.487629396,4.509551599
ABHD2,6.80120301,7.259914538,7.285222334,7.297982183,6.782862471,7.425053053
ABHD3,3.173152973,3.198423245,3.06809687,3.627458872,3.526414462,3.528272207
ABHD4,4.79723185,4.702585861,4.720580639,3.783614856,3.809575879,3.836842553
ABHD5,5.291533969,5.356462945,5.355079396,5.754330683,5.701305717,5.744954793
ABHD6,1.464044505,1.652194244,1.72230053,2.087255289,2.230413228,2.077183022
ABHD8,4.166305631,3.728079844,3.863326918,3.610871842,3.646425796,3.479887975
ABI1,6.175964322,6.24470386,6.258781281,5.911580955,5.977239072,5.962370724
ABI2,5.647920767,5.950204698,5.964115969,5.923719298,5.861444817,6.034366436
ABI3,0,0.050632018,0.049411558,0.040198863,0,0.04162307
ABI3BP,0.18992518,0.440617962,0.314869635,0.593210291,0.687795168,0.664867491
ABL1,6.981886156,7.225206494,7.166026205,7.045549637,6.82268558,7.159813461
