"","MM134.24hr.Vehicle.A","MM134.24hr.Vehicle.B","MM134.24hr.Vehicle.C","MM134.24hr.Vehicle.D","MM134.24hr.E2.A","MM134.24hr.E2.B","MM134.24hr.E2.C","MM134.24hr.E2.D","SUM44.24hr.Vehicle.A","SUM44.24hr.Vehicle.B","SUM44.24hr.Vehicle.C","SUM44.24hr.Vehicle.D","SUM44.24hr.E2.A","SUM44.24hr.E2.B","SUM44.24hr.E2.C","SUM44.24hr.E2.D"
"A1CF",5.989126277,5.780847639,6.045254865,5.659933824,5.866688443,5.616182061,5.833459053,5.777701459,6.271922804,6.01191733,6.227769734,6.232507764,6.040714569,6.449781233,6.423537012,6.649558497
"A2M",6.499354636,6.38538923,6.497023398,6.307316564,6.681249515,6.785276084,6.766362847,6.97560452,5.986966608,5.774394879,6.086821364,5.923507012,5.75894821,5.702793429,6.093140506,6.146288728
"A4GALT",7.144898528,7.134728169,7.038529724,7.018658819,7.076853539,6.848192275,6.990937435,7.086864652,7.219254257,7.356043815,7.281507282,7.217914746,7.118983779,7.159480203,7.218006351,7.452217411
"A4GNT",5.806586304,5.913363011,5.7932458,5.845247076,5.887094228,5.770101584,5.848471992,5.873441049,5.682246566,5.786029599,5.988352823,5.816266103,5.576312766,5.819854114,5.597210059,5.732352189
"AAAS",8.630893131,8.63019219,8.495931712,8.629194406,8.62309889,8.568352472,8.567990714,8.526191371,8.476021591,8.436044135,8.442980206,8.577010902,8.469000947,8.54714165,8.486918504,8.458570116
"AACS",10.05986767,10.06285691,9.94006719,9.933306331,10.03016498,9.945217915,10.04656979,9.974694151,10.61823024,10.66148364,10.65972778,10.66666257,10.62818755,10.59357387,10.53169462,10.60813097
"AADAC",5.148976996,4.987092167,5.102145011,5.135159541,5.24831978,5.1705366,5.098821815,5.122792456,5.001945379,4.799500668,4.942263082,5.071498802,4.844812855,5.011080083,4.778137053,4.999358861
"AAGAB",10.70544081,10.63432407,10.61200114,10.6419658,10.689101,10.65023789,10.69246234,10.66761237,10.35090582,10.32044489,10.34720412,10.32628106,10.2927913,10.32396,10.20957364,10.24812452
"AAK1",7.530905116,7.643495648,7.38173925,7.521544556,7.587197981,7.708136832,7.653575884,7.549443445,8.141924054,8.066406454,8.007010164,8.213086772,8.07537676,8.048954408,7.994698162,7.979892078
"AAMDC",12.6573922,12.62742996,12.62601712,12.64524476,12.42593972,12.35759614,12.45589474,12.40325968,11.65902886,11.63787611,11.68771327,11.71587572,11.5784218,11.56324588,11.54092799,11.52358963
"AAMP",10.40832733,10.43048175,10.3227436,10.25646616,10.34601607,10.36316892,10.50927019,10.33959113,10.90624163,10.88225651,10.94272757,10.9752732,10.96902121,10.9876108,10.81007302,10.83864838
"AANAT",4.30197159,4.64303504,4.504812653,4.507137246,4.566859226,4.611278934,4.989447873,4.406977808,4.958344643,5.040158454,4.98223994,4.98223994,5.055623076,5.041595027,4.926292653,5.10697473
"AAR2",9.563793397,9.633533325,9.620052317,9.547536397,9.379880481,9.343706196,9.354231918,9.320243356,9.352349122,9.354430758,9.381661355,9.368421853,9.284994325,9.267970424,9.196382884,9.208151822
"AARS",9.643022524,9.755148755,9.696565059,9.642970165,9.862460359,9.758982401,9.878195312,9.828593144,9.885621448,9.933666777,9.932371978,9.915453501,10.24441312,10.23661537,10.1716049,10.24757266
"AASDHPPT",11.43090584,11.34950688,11.305895,11.38045789,11.10044382,11.13798641,11.14625653,11.17903701,11.05507858,10.93852732,11.10207451,10.99425095,10.76711342,10.79448172,10.76401816,10.73884295
"AASS",7.332373043,6.939049227,7.116259813,7.209751122,6.957905188,7.071008172,6.896302387,6.956486961,5.635702253,5.609643873,5.534631363,5.660745211,5.421370647,5.294534746,5.448074091,5.411582725
"AATF",9.651614334,9.724376693,9.732574008,9.655970829,9.892820885,9.814390179,9.748607153,9.83852812,9.350128525,9.415636456,9.460132689,9.37550349,9.472786127,9.475823789,9.374385235,9.42396867
"AATK",9.083605897,9.051572657,8.942541044,9.010859821,8.925995825,8.737503099,9.025376027,8.892537096,7.353879786,7.202830184,7.248675604,7.495353596,7.390811715,7.453245528,7.468183048,7.439232811
"ABAT",9.977069232,9.963500374,9.996458802,10.00655882,10.5947857,10.52764245,10.33992008,10.46577798,10.85603715,10.94380011,10.86297624,10.81214142,11.84280997,11.76866461,11.83542158,11.83065075
"ABCA1",7.388182554,7.161073308,7.279875766,7.367913878,5.518332856,5.692331489,5.82642276,5.588812336,5.790653648,5.600401847,5.886747421,5.771551706,5.966525527,6.027742513,5.909698659,6.044670101
"ABCA11P",7.222632824,7.358002867,7.302896389,7.35788047,7.231900282,7.4137051,7.386027916,7.17294422,7.097327675,7.118538681,7.063132836,7.161594715,7.390049816,7.299738333,7.34627562,7.276208519
"ABCA12",3.572131519,3.355746591,3.383711807,3.1484703,3.074103209,3.220294601,3.442357708,3.280322549,9.161572611,9.167841267,9.06145401,9.198992635,9.321288731,9.363964216,9.248957447,9.320742416
"ABCA2",8.445757079,8.468091213,8.331513824,8.445033221,8.535559668,8.376595068,8.535561904,8.406372852,7.127160773,6.968896254,7.222882566,7.035359477,7.118739222,7.248126405,7.105627177,7.21439874
"ABCA3",8.973570493,8.981038223,8.901226499,8.946067829,8.972535657,8.877625587,8.93783205,8.906882261,9.318606211,9.431017885,9.400856368,9.465420596,10.74942546,10.65042656,10.58057988,10.6982863
"ABCA4",5.910928064,6.008822034,5.779747716,5.901633677,5.883760841,5.74876086,5.928692545,5.865787099,8.486697736,8.456648706,8.66079153,8.534812961,7.533289055,7.545398533,7.341638616,7.475173768
"ABCA5",3.356325573,3.496860581,3.62015705,3.435989738,3.50263215,3.695320521,3.529536296,3.495070839,6.964038506,6.908713397,6.986576131,7.057432548,7.054833228,7.008499887,7.065928443,6.809933406
"ABCA6",3.059394696,3.359179123,3.416004066,3.283834888,3.254967577,3.303487481,3.316612287,3.456248453,3.083189442,2.87910451,3.052707627,3.029275096,3.185124302,2.937876632,3.20268662,3.350885656
"ABCA7",7.860823878,7.808570587,7.848807839,7.833985191,7.81149251,7.943844287,7.832246223,7.769596191,7.513515544,7.511279642,7.584748859,7.58781756,7.612137162,7.678841844,7.535371686,7.685561958
"ABCA8",3.387627382,3.463880875,3.09849193,3.339758869,3.62507752,3.478815399,3.295377218,3.257543903,3.144139078,3.447260617,3.499509888,3.613610508,3.421990542,3.567554314,3.499509888,3.475776014
"ABCB1",3.709053236,3.660602547,3.674800307,3.774642422,3.580709121,3.757801469,3.803654807,3.87810481,4.082651282,4.235093764,3.96817141,4.186157172,4.318049664,4.360836925,3.881917505,4.1194351
"ABCB11",5.202696395,5.335970528,5.326804517,5.212940535,5.120947236,5.186880592,5.152778212,5.207473559,5.432299686,5.528618644,5.550919086,5.243659401,5.488784657,5.247131989,5.376080479,5.466728021
"ABCB4",4.53159659,4.776641899,4.547138686,4.711163455,4.492955836,4.401542672,4.468058224,4.505682867,4.531159746,4.606394298,4.791928401,4.780078297,4.750917024,4.718529689,4.566105781,5.036150397
"ABCB6",8.634243077,8.660380259,8.67156905,8.654822936,8.866297318,9.056817699,8.990949817,8.964132083,8.347713308,8.480014235,8.379465075,8.526393626,8.478380723,8.393036436,8.358735626,8.367222577
"ABCB7",10.40008885,10.42245293,10.3918225,10.32537895,9.988035407,10.01825751,9.905157381,9.921041491,9.76231605,9.739331896,9.741048813,9.745131793,9.712827978,9.709135812,9.712787852,9.652300352
"ABCB8",6.850619055,6.778665925,6.579391457,6.776174422,6.890411719,6.825298782,6.836692991,6.953936173,6.864000942,6.70558278,6.860457956,6.892035893,6.91043856,7.016682277,7.041645081,6.796691541
"ABCB9",7.524196497,7.508739131,7.316663716,7.490058166,7.196207156,7.028930813,6.887781746,6.970614287,7.626586704,7.690304703,7.628429634,7.625890687,6.85402184,6.847160945,6.87263662,6.682161297
"ABCC1",8.809299414,8.743037615,8.841641266,8.800954295,8.75745398,8.84727396,8.713867386,8.809042984,9.620346528,9.613520281,9.701085925,9.658388322,9.401943921,9.391460037,9.406274458,9.352423076
"ABCC10",8.801404317,8.629670531,8.758971534,8.736672209,8.916559874,9.083843723,9.086975229,8.994609006,8.875666859,8.801497663,8.86550608,8.83115347,8.938344129,8.914691197,8.894753771,8.872885318
"ABCC2",5.730442749,5.813652673,5.832894861,5.57724367,5.692023811,5.669732439,5.813025618,5.720695575,8.756595522,8.950105681,8.791737536,8.857984822,8.300005526,8.249540686,8.269835984,8.243868995
"ABCC3",9.012703235,8.892015141,8.966092687,8.958297349,8.205583477,8.193184469,8.187694464,7.972499228,6.175691337,6.199698305,6.06557301,6.036045339,6.272859255,6.24788442,6.25516308,6.158254779
"ABCC4",4.137612025,3.920224171,3.9008361,3.808185811,3.890504931,3.473859453,3.929504199,3.703790625,3.280167831,3.234332859,3.26226832,3.285680306,2.993997829,3.211759685,2.957126069,3.14465451
"ABCC5",8.468131952,8.41568566,8.465222006,8.407039974,8.187888922,8.229825308,8.28366447,8.372519236,8.29627236,8.161774606,8.146511451,8.268827903,7.597847673,7.267081739,7.510811333,7.499734562
"ABCC6",7.177296279,7.016122893,7.039878643,7.122157637,6.589751341,6.967172247,6.984065024,6.768122525,6.420811176,6.311747055,6.355044665,6.32874238,6.371049322,6.380154969,6.415690365,6.612561721
"ABCC8",9.725718213,9.734501697,9.657317082,9.747260146,9.24500926,9.170389211,9.250868114,9.203539808,7.859120706,7.979152439,7.882224309,8.024792978,7.976052733,7.988021193,7.796512519,7.879310477
"ABCC9",5.279825859,5.496979193,5.338483635,5.279116811,5.241193759,5.310639918,5.413972663,5.383766256,4.457730171,4.515416264,4.494636042,4.439634124,4.39192496,4.601739706,4.24960811,4.55602042
"ABCD1",6.9176448,6.934308703,6.85386941,6.904059705,6.981050052,6.863305033,6.998420721,6.873156178,7.809863335,7.69449804,7.916579196,7.760495561,7.653803563,7.739946825,7.730965849,7.797754534
"ABCD2",2.673629125,2.611789303,2.600421999,2.605142734,2.602935433,2.665379602,2.825040275,2.602935433,2.799865705,3.052707627,2.636005888,2.828596547,3.030013726,2.856998669,2.597230177,2.820561676
"ABCD3",11.99604663,11.95976315,12.01100815,12.03060199,12.22152869,12.36509774,12.13768478,12.31323563,13.32422636,13.20362168,13.19314641,13.24724587,13.45582046,13.44002413,13.50250736,13.46385543
"ABCD4",8.608137987,8.631545265,8.696246692,8.629244366,8.220204624,8.408112542,8.328414251,8.254491447,9.152812823,9.126909434,9.101919594,9.05576692,9.336117833,9.356154946,9.321899579,9.331002169
"ABCE1",10.51290222,10.55069311,10.51112918,10.49158791,10.98664326,11.09547101,10.93685617,10.9653051,10.29132352,10.39890594,10.22392367,10.27447843,10.42534321,10.38748119,10.41876551,10.3674105
"ABCF1",10.00387354,9.986152997,9.921420744,9.955483485,10.19280961,10.1530437,10.19493515,10.17402793,9.835283693,9.886472193,10.00486706,9.822993377,9.953620416,9.908101694,9.926026675,9.991226103
"ABCF2",8.377318605,8.346658394,8.335299525,8.281285991,8.454844863,8.478466859,8.499622398,8.446401998,8.769823137,8.824563618,8.871326848,8.841577026,8.849609894,8.870301691,8.848254654,8.717399768
"ABCF3",7.758080324,7.634795463,7.690826358,7.68528816,7.731003618,7.767900612,7.73267606,7.846550914,8.210192617,8.208223257,8.320390564,8.183840499,8.272661272,8.232921979,8.197854235,8.261932498
"ABCG1",10.13620955,10.10121419,10.05338454,10.18307592,9.417364173,9.440294109,9.224666618,9.409547025,10.44739455,10.37868216,10.42784442,10.36644542,8.844673078,8.676659977,8.831337255,8.663876303
"ABCG2",3.772116671,3.903980287,3.983530539,3.880500006,3.806153864,3.711013791,3.831215068,4.019943866,4.491524464,4.436153194,4.486673808,4.281508049,4.374035344,4.501412093,4.276891166,4.589199227
"ABCG4",5.424334192,5.701031042,5.655873353,5.525624781,5.516802225,5.389516765,5.460404167,5.465459143,5.941059792,5.941059792,5.915324378,6.015689911,5.950591453,5.930037804,5.771283746,6.019987086
"ABCG5",5.083533859,4.913263869,4.634966612,5.0798208,4.969245386,4.661059676,4.794557159,4.664044057,5.095682794,4.599367136,4.654089177,4.678753973,4.745372548,4.682976109,4.509784967,4.56746213
"ABHD10",6.221559388,6.235915847,6.153796109,6.125683908,6.274893411,6.112292913,6.221448142,6.015667934,9.149033879,9.172783548,9.203134502,9.152702041,9.058890346,8.994917198,9.127238333,8.923904167
"ABHD11",9.828161052,9.848554266,9.837800515,9.802512576,9.906927221,9.936098275,9.902125009,9.964204494,10.22423103,10.2719155,10.30255309,10.29294682,10.24516705,10.24997157,10.252289,10.25708679
"ABHD17A",10.13017051,10.09697887,10.02444334,10.1197236,10.06407107,10.01857463,9.973208097,9.954605026,9.697063917,9.818795812,9.821768202,9.871185504,9.909700537,9.809935534,9.787048644,9.810513403
