"","VC_rep2","VC_rep1","VC_rep4","VC_rep3","E2s_rep4","E2s_rep1","E2s_rep2","E2s_rep3"
"A1CF",7.415847379,7.519046475,7.39210272,7.559377091,7.304693557,7.388340241,7.237687991,7.454299294
"A2M",7.087197616,7.329347878,7.236014192,7.057314878,7.262916994,7.074141463,7.278333295,7.195495247
"A2ML1",7.095792589,7.239001758,7.12425058,6.964846228,7.246384334,7.167292689,7.52160044,7.010667963
"A4GALT",7.457483485,7.240910558,7.426055045,7.2848241,7.765451869,8.533767731,8.399010833,8.26684509
"A4GNT",7.271696455,7.196233261,7.552380914,7.493054842,7.424376273,7.444963098,7.634357301,7.434211203
"AAAS",8.199181549,8.71630504,8.54925523,8.484848063,8.66088727,8.413257689,8.363696745,8.327047332
"AACS",10.2817562,10.75834815,10.7287921,10.50807948,10.31340742,10.33511117,11.14469409,10.47313495
"AACSP1",7.713128714,7.408542042,7.486533381,7.510071825,7.536344364,7.482303782,7.747018085,7.17292749
"AADAC",7.357991784,7.811495114,7.521698579,7.468522226,7.393497717,7.71381608,7.647098607,7.660530785
"AADACL2",7.331028884,7.173364831,6.960870764,6.961594391,7.001830385,7.204937885,7.083878174,7.09288925
"AADACL3",7.394033895,7.970681128,7.65745244,7.468522226,7.550073371,7.408223578,7.440765373,7.666490322
"AADACL4",7.114913555,7.448942236,7.456713761,7.534205597,7.286326727,7.304123119,7.230320716,7.202980858
"AADAT",10.44918734,11.53136318,11.15461245,10.80638851,10.56133568,10.80680133,10.62114756,10.80806925
"AAK1",8.240075769,8.391673219,7.975203124,7.63780222,7.759472121,8.33231633,7.799807761,7.908092341
"AAMDC",10.66365816,9.673960482,10.69621774,10.70390357,10.66383603,10.64259328,10.56114472,10.81197669
"AAMP",9.967604538,10.13620613,10.31862754,10.33618574,10.11348173,9.884647522,10.012642,10.44577791
"AANAT",7.315602457,7.309760545,7.195495247,7.279378431,7.220378328,7.174800876,6.939579214,7.152665116
"AAR2",11.45374648,12.12086965,11.84771315,11.56358657,11.21021472,11.72311162,11.62376149,11.63181367
"AARD",7.283088353,7.153805336,7.076815597,7.14070198,7.183511327,7.18096585,7.006326079,7.317073382
"AARS",14.48229669,14.74949106,14.55125389,14.48676747,14.76605457,14.93285373,14.49752053,14.41325356
"AARS2",9.506257986,9.546617177,9.646761195,9.578926923,9.64570346,9.534910768,9.679315148,9.642209677
"AASDH",9.522495712,8.381056203,9.205915403,9.221103725,9.833977162,9.356534502,8.965567864,9.319291077
"AASDHPPT",10.92700938,10.44379181,10.08991387,10.53123523,11.40786522,10.29968741,10.16606106,9.941084297
"AASS",7.390276456,7.53838296,7.571752644,7.428569547,7.430138888,7.331812684,7.588714636,7.572794951
"AATBC",7.322040801,7.145804806,7.425425735,7.166539716,7.340406491,7.473502825,7.382191694,7.167919866
"AATF",11.42199904,11.73113868,11.72975615,11.48287727,11.09582555,11.54776213,11.87648337,11.72117397
"AATK",7.442632537,7.913338238,7.889846154,7.472183116,7.456046333,7.653024179,7.645658432,7.605572114
"ABAT",8.392210075,8.627807442,8.251423234,8.198690586,8.903542968,8.901319466,8.570235215,8.911841356
"ABCA1",11.29026369,10.80557259,10.87063443,11.39531991,10.71840444,11.13485143,10.4807902,10.78798416
"ABCA10",7.340517763,7.230080497,7.162265434,7.239717854,7.426055045,7.478162893,7.273329387,7.433272458
"ABCA11P",8.142426202,8.443254388,8.041590711,7.990919416,8.122180901,8.27257147,8.329488037,8.294391002
"ABCA12",11.27686592,10.70281119,10.68213872,11.19594886,11.18828748,10.94577301,10.1191681,10.74830818
"ABCA13",7.226532613,7.211888295,7.016947537,7.089185621,6.902073579,7.025831668,7.072132604,7.137119232
"ABCA17P",7.076815597,7.103156648,7.241864012,7.003447638,7.107609414,7.332931659,7.132371199,7.273329387
"ABCA2",8.422064766,8.289529031,8.225388214,8.009093789,8.340128274,8.304009005,8.20939244,8.583693949
"ABCA3",10.99866094,11.39952494,11.30248899,11.48333085,11.66919511,10.89550902,10.77912426,11.53552447
"ABCA4",7.883406986,8.257535169,7.845215599,7.769259328,7.697749498,7.70269217,7.400345797,7.847840356
"ABCA5",7.858525012,7.898110077,7.948221202,7.833996921,7.615215803,7.736782428,7.57865573,7.782916328
"ABCA6",7.607561496,7.883177848,7.760096169,7.697879786,7.524933432,7.669948004,7.953287068,7.630767658
"ABCA7",8.317186468,8.161761743,8.512937943,7.961739073,8.480083319,8.607653959,9.032803391,8.888134388
"ABCA8",7.263151808,7.389308673,7.43269848,7.349060024,7.279378431,7.434419731,7.167919866,7.45907295
"ABCA9",7.359310317,7.600052271,7.600098745,7.407480222,7.616319097,7.526988205,7.496354489,7.327777171
"ABCB1",7.508983185,7.151777655,7.398262713,7.154311811,7.183511327,7.238643576,7.321928095,7.341852356
"ABCB10",11.61687043,8.396283671,10.79501483,10.80806925,11.88882409,11.18275126,10.6544794,11.12289269
"ABCB11",7.311578042,7.309760545,7.41974955,7.368288186,7.255146625,7.285980106,7.417430613,7.211644987
"ABCB4",7.122957379,7.085339669,7.110874761,7.093879681,7.199549661,7.285980106,7.167919866,7.12683351
"ABCB5",7.219652565,7.327328083,7.12425058,7.326317123,7.26185986,7.152411611,7.07721629,7.349060024
"ABCB6",11.26499963,8.499447297,11.16546448,11.17080137,11.54715964,11.04415502,10.70798457,11.38671127
"ABCB7",10.22514717,7.725195817,9.540164372,9.688250309,10.0764816,9.972746496,9.118746451,9.53537259
"ABCB8",7.587683771,7.782752553,7.779144789,7.584774638,7.726047819,7.667555107,7.857125696,7.828771194
"ABCB9",12.26483841,12.38336342,12.02221608,11.97257599,11.80224371,11.80617702,11.34223443,11.80760649
"ABCC1",7.969674312,8.711623959,8.50109077,8.259743264,8.015624123,8.328001662,8.707315989,8.465617419
"ABCC10",8.086003496,8.27257147,8.31299637,8.126446365,7.96459357,8.407161524,8.22394136,8.420907623
"ABCC11",11.01521466,11.48040525,11.43137354,11.19296314,10.94495908,11.61355352,11.82777686,11.52932684
"ABCC12",8.644239355,8.784553058,9.014961961,8.724599116,8.730639956,8.810571635,8.820498107,8.877284134
"ABCC13",7.390276456,7.654188473,7.745632311,7.608855435,7.441906705,7.456970381,7.599726916,7.460353501
"ABCC2",9.888381769,9.80161743,9.818642089,9.587355614,9.469641817,9.656827046,9.830416172,9.882022053
"ABCC3",8.974755146,9.775085532,9.366212915,8.957900093,8.970177808,9.448013031,10.35698834,9.391619522
"ABCC4",7.987619312,7.661778098,7.784266764,7.962751439,7.67542783,7.781359714,7.884552134,7.562337837
"ABCC5",10.27367906,10.94209292,10.61836256,10.59987798,9.801102057,9.960146774,10.32158992,9.835635955
"ABCC6",8.440220328,8.856425529,8.974091883,9.087263927,8.591078156,8.721013718,8.752652433,8.864340932
"ABCC8",7.637756945,7.622966945,7.941194363,7.646783692,7.790470685,7.914908295,8.278449458,7.957247175
"ABCC9",7.493955494,7.496654083,7.666579084,7.654277995,7.521305982,7.474821327,7.417430613,7.442425193
"ABCD1",8.573718185,8.77276818,8.835063492,8.219924769,8.204876768,8.659549997,8.881649326,8.410053787
"ABCD2",7.357991784,7.265615046,7.21273955,7.236731772,7.48598021,7.20725841,7.188465216,7.492454094
"ABCD3",9.0399129,9.459738978,9.260919534,9.482429842,9.50109077,9.150699289,8.848231701,9.102139753
"ABCD4",7.265732239,7.779801417,7.495355392,7.461786371,7.385700654,7.594231283,7.348728154,7.442425193
"ABCE1",11.31267028,10.48937133,10.97862109,11.31438498,11.45619396,11.21981892,11.11926538,11.20663285
"ABCF1",12.24747883,12.96098385,12.82745932,12.5265512,12.29794081,12.73436563,12.6650194,12.74094284
"ABCF2",10.40581956,10.76144735,10.86063599,10.77186082,10.30249613,10.70933157,11.0269902,10.73178571
"ABCF3",8.77700868,9.518800663,9.65479264,8.9622815,8.592059868,9.135388652,9.433481121,9.425465075
"ABCG1",9.953841774,11.07033062,10.53216108,10.52215239,9.742119928,10.13660668,10.39258576,9.883206492
"ABCG2",7.050256802,7.336618133,7.049576317,7.243412032,7.186980835,7.547280156,7.180655119,7.041385369
"ABCG4",7.274261661,7.397246787,7.318203844,7.434419731,7.396818815,7.268191079,7.269711121,7.319785003
"ABCG5",7.841721581,7.77033353,7.991025746,7.760470469,7.852139328,7.897694222,7.899130304,8.141436623
"ABCG8",7.174051814,7.19451064,7.163146469,7.428569547,7.109047078,7.222794903,7.216260837,7.283030459
"ABHD1",8.562480945,9.055960234,8.879353503,8.611831706,8.700743138,8.820218859,8.523880451,8.999013445
"ABHD10",9.687747464,10.12232652,10.39198865,10.1585308,10.00010566,9.985824152,10.17290406,10.2817562
"ABHD11",11.83537443,12.38081615,12.1746156,12.20388325,11.73113868,11.85306096,12.19054619,11.96612238
"ABHD11-AS1",7.282161767,7.261977357,7.35502067,7.423536153,7.255146625,7.178540368,7.459329151,7.520618681
"ABHD12",10.40159954,10.59645767,10.52497015,10.29764712,10.47787208,10.09585851,10.71342411,10.39561446
"ABHD12B",7.568098627,7.391136162,7.665513578,7.329347878,7.525618682,7.267020725,7.258330473,7.45291043
"ABHD13",7.484722214,7.309760545,7.692353962,7.594044623,7.475632115,7.603533624,7.851358649,7.320913343
"ABHD14A",8.168296041,8.120561896,8.560619434,8.225779821,8.071998581,8.469387441,8.545905644,8.749010425
"ABHD14A-ACY1",11.50363632,11.70727824,12.03056369,11.70872827,11.49468374,11.94079533,11.69743459,11.84177563
"ABHD14B",9.705049144,10.06127836,10.04145382,9.793400098,9.273547943,10.01675607,9.585948381,9.891005197
"ABHD15",9.218684313,7.14758654,8.31687546,8.944638863,9.499796069,8.446618099,8.11175514,8.597447372
"ABHD16A",9.995413852,10.37702747,10.5088718,10.10377136,9.85898144,10.19970301,10.3941009,10.14282503
"ABHD16B",7.237807474,7.139807127,7.220620167,7.119719295,7.255972742,7.152411611,7.183263185,7.195495247
"ABHD17A",11.28351525,11.26119876,11.40374437,10.97639407,10.74697611,11.34113656,11.34131033,11.34131033
"ABHD17B",8.95015489,9.80161743,9.320997933,9.435487959,9.576933052,9.341463227,9.451004998,8.915356569
"ABHD17C",12.57907134,11.77937567,12.05691285,12.39440575,12.44423844,12.29544969,12.08746284,12.20645352
"ABHD18",8.412358137,9.129250814,8.259213629,8.509131684,8.342463632,8.505563476,8.331700739,8.047498855
"ABHD2",8.011576703,8.496903697,8.3851344,8.201940107,7.999436337,8.319897877,8.427103287,8.546146881
"ABHD3",11.34746912,11.77882149,11.28195175,11.54891821,11.31438498,11.27686592,11.21885834,11.15779692
"ABHD4",8.317780025,8.848583821,8.872444031,8.473299871,8.385700654,8.520815086,8.522140123,8.469311119
