Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9,WT10,Mut3,Mut4,Mut5,Mut6,Mut7,Mut8,Mut9,Mut10
A1BG,0,0,0,0.107692669,0,0,0.03808137,0,0.041720932,0,0.060962895,0,0,0.035138963,0,0,0
A1CF,0,0,0,0,0,0,1.508719862,0,0,0,0,0,0,0,0,0,0
A2M,1.15661341,0.177325074,6.519820154,0.346262012,1.255395263,2.744164667,0,1.166642517,0.269496023,0.091210978,0.602115872,0,1.598136498,0.692773441,0.583720624,1.739697152,1.047100183
A3GALT2,0.218981154,0,0.663766518,0.431640214,0.502022617,0.274022962,0.430517479,0.306986896,0.12170887,0.752981232,0.229768854,0.367913316,0.498125184,0.601949211,0.253155817,0.455144605,0.421479443
A4GALT,2.417825584,3.937437976,0.460024984,3.464238818,3.818669153,4.922996183,3.435137248,2.40539951,3.585306019,3.576729612,2.901931627,3.481166296,4.082808348,2.908631557,2.86619788,3.866055965,3.431788242
A4GNT,0,0,0.273393639,0.054850966,0.142804739,0.143507655,0.11135503,0,0.041720932,0.091210978,0.060962895,0,0,0.135695168,0,0.118488601,0
AAAS,6.726975177,6.327710778,5.922987668,6.437630789,6.421159658,4.819925302,5.988276868,6.210103259,6.559250622,6.56955373,6.262885186,6.49750332,6.702698645,6.364359792,6.244247797,6.14372946,5.991524899
AACS,5.638602665,5.997918865,5.39872768,5.972011507,6.263360039,5.482769514,6.061171117,5.578098353,5.752259928,6.635909707,6.275801301,6.190620143,6.131496972,5.989843881,6.169327297,6.117290109,5.983810704
AADAC,0.076746668,0,0.058980731,0.107692669,0.142804739,0,2.591804187,0.272000591,0.082269181,0.091210978,0,0,0.270455357,0.16771448,0.05430985,0.227979997,0.195869645
AADACL2,0,0,0,0.255511563,0.142804739,0,0,0,0,0.17699666,0,0,0.185814524,0,0,0.570511024,0.421479443
AADACL3,0.076746668,0,0.058980731,0.389582602,0.789391952,0,0.03808137,0.199374936,0.526183327,0.046326194,0,0.081471877,0.350404423,0.453999736,0.34316424,1.227136778,1.176487542
AAGAB,5.68070298,6.305219856,7.012918825,6.309564976,5.964826434,5.766706254,6.536010334,5.896488544,6.299810038,5.709569557,6.446157652,6.533235544,6.257375528,6.220086171,6.02975116,6.021056308,6.046516804
