Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9_10,Mut3,Mut4,Mut5,Mut6,Mut7_8,Mut9_10
A1BG,0,0,0,0.107692669,0,0,0.03808137,0.020860466,0,0.060962895,0,0,0.017569482,0
A1CF,0,0,0,0,0,0,1.508719862,0,0,0,0,0,0,0
A2M,1.15661341,0.177325074,6.519820154,0.346262012,1.255395263,2.744164667,0,0.71806927,0.091210978,0.602115872,0,1.598136498,0.638247033,1.393398668
A3GALT2,0.218981154,0,0.663766518,0.431640214,0.502022617,0.274022962,0.430517479,0.214347883,0.752981232,0.229768854,0.367913316,0.498125184,0.427552514,0.438312024
A4GALT,2.417825584,3.937437976,0.460024984,3.464238818,3.818669153,4.922996183,3.435137248,2.995352765,3.576729612,2.901931627,3.481166296,4.082808348,2.887414719,3.648922104
A4GNT,0,0,0.273393639,0.054850966,0.142804739,0.143507655,0.11135503,0.020860466,0.091210978,0.060962895,0,0,0.067847584,0.059244301
AAAS,6.726975177,6.327710778,5.922987668,6.437630789,6.421159658,4.819925302,5.988276868,6.384676941,6.56955373,6.262885186,6.49750332,6.702698645,6.304303795,6.06762718
AACS,5.638602665,5.997918865,5.39872768,5.972011507,6.263360039,5.482769514,6.061171117,5.665179141,6.635909707,6.275801301,6.190620143,6.131496972,6.079585589,6.050550407
AADAC,0.076746668,0,0.058980731,0.107692669,0.142804739,0,2.591804187,0.177134886,0.091210978,0,0,0.270455357,0.111012165,0.211924821
AADACL2,0,0,0,0.255511563,0.142804739,0,0,0,0.17699666,0,0,0.185814524,0,0.495995234
AADACL3,0.076746668,0,0.058980731,0.389582602,0.789391952,0,0.03808137,0.362779132,0.046326194,0,0.081471877,0.350404423,0.398581988,1.20181216
AAGAB,5.68070298,6.305219856,7.012918825,6.309564976,5.964826434,5.766706254,6.536010334,6.098149291,5.709569557,6.446157652,6.533235544,6.257375528,6.124918666,6.033786556
AAK1,6.891698319,6.890463786,6.512585169,6.682621818,6.778747377,6.685386281,6.615295092,7.236515687,6.916381406,6.602356056,6.794124722,6.633976599,6.723209153,6.524004618
AAMDC,5.191461586,4.094793087,4.843400936,4.477336296,3.727174113,5.210637452,4.629457991,4.189522639,3.568816713,4.716595524,4.199358252,3.97343782,3.766719314,3.436054767
AAMP,7.939585487,8.021754891,7.925740626,7.987643144,7.495736984,7.24567462,7.877256305,8.023322829,7.75366051,8.12704522,8.108383594,8.018206113,7.725868746,7.617239257
AANAT,0.076746668,0.177325074,0.115644602,0,0,0,0,0.080049503,0.134741349,0,0.081471877,0,0,0.020293567
AAR2,6.269347632,5.614657337,5.401578959,5.697137254,5.470989735,5.26854287,5.723464794,5.785033039,5.573832264,5.846541213,5.754472127,5.653856126,5.585374814,5.514439783
AARD,0.49546833,0,0.058980731,0,0.049189022,0.073537465,0.03808137,0.564016744,1.14233732,0,0,0,0.137698316,0.157179123
AARS1,8.404147892,8.210661048,8.032143514,7.993139295,7.500994895,7.308418355,8.092588616,7.957693103,7.647309753,8.131937097,8.257431202,7.818772631,7.417272962,7.370392418
