gene_id,MCF7_1,MCF7_2,MCF7_3,FulR_1,FulR_2,FulR_3
A1BG,2.280956314,2.541019153,2.801158656,3.553360503,3.455491621,3.523561956
A1BG-AS1,1.963474124,2.244887059,1.843983844,2.687060688,2.763411574,2.825785627
A1CF,0,0.028569152,0,0.014355293,0.070389328,0.014355293
A2M,0.713695815,0.948600847,0.59454855,0.084064265,0.028569152,0.070389328
A2M-AS1,1.310340121,0.948600847,1.321928095,1.570462931,1.344828497,1.411426246
A2ML1,0.176322773,0.214124805,0.298658316,0.014355293,0.056583528,0.042644337
A2MP1,0.070389328,0.084064265,0.097610797,0,0.084064265,0
A3GALT2,0.150559677,0,0.124328135,0.070389328,0,0
A4GALT,3.396433531,3.628773595,3.407352751,1.427606173,1.367371066,1.321928095
A4GNT,0.042644337,0,0,0,0,0
AA06,0,0,0,0,0,0
AAAS,5.71259578,5.914086097,5.763145958,6.182890893,6.234961095,6.235152624
AACS,5.610286657,5.541019153,5.469560422,5.161081482,5.056149961,5.069100632
AACSP1,0.275007047,0.35614381,0.111031312,0.650764559,0.263034406,0.622930351
AADAC,0.056583528,0.124328135,0.084064265,0.042644337,0,0
AADACL2,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADAT,2.855989697,2.618238656,3.010779839,2.214124805,2.150559677,2.389566812
AAED1,3.56193706,3.010779839,3.458119481,3.267535798,2.965322548,2.711494907
AAGAB,6.61176256,6.277612871,6.378858383,6.346602375,6.163699987,6.221683781
AAK1,2.257010618,1.937344392,1.855989697,1.752748591,1.541019153,1.560714954
AAMDC,5.560409266,5.642412773,5.426600226,5.993221467,5.931210275,5.740657772
AAMP,7.815703503,7.906469748,7.941517176,7.661493093,7.694392713,7.714863683
AANAT,0.150559677,0.111031312,0,0.214124805,0.111031312,0.887525271
AAR2,5.445594291,5.502712486,5.461724992,5.359661722,5.526381863,5.427606173
AARD,5.817879032,5.394719913,5.621172753,1.257010618,1.565597176,1.137503524
AARS,7.735860608,7.67616866,7.642123916,7.5389261,7.478001056,7.455984709
AARS2,3.776103988,3.762348816,3.808385051,3.488000771,3.488000771,3.507160349
AARSD1,4.433627167,4.603477988,4.521678952,4.295723025,4.412781525,4.176322773
AASDH,2.678071905,2.182692298,2.482848283,2.927896454,2.778208576,2.767654798
AASDHPPT,5.06091205,4.500802053,4.713695815,4.410069692,4.263034406,4.366671916
AASS,1.042644337,0.918386234,0.879705766,1.378511623,1.214124805,1.321928095
AATF,5.587064898,5.416501993,5.468257468,5.191799501,4.950934928,4.94016675
AATK,1.906890596,1.925999419,1.918386234,0.948600847,0.948600847,0.807354922
AATK-AS1,0,0,0,0.042644337,0.070389328,0
ABAT,6.056800263,5.905206469,5.917431755,5.23610989,5.104755987,5.098032083
ABCA1,0.604071324,0.5360529,0.622930351,0.070389328,0.124328135,0.084064265
ABCA10,0.201633861,0.189033824,0.163498732,0.298658316,0.150559677,0.214124805
ABCA11P,3.168321116,3.292781749,3.331991778,3.087462841,3.428946345,3.314696526
ABCA12,4.279471296,3.857980995,3.917431755,2.887525271,2.618238656,2.613531653
ABCA13,0.056583528,0.042644337,0.056583528,0.028569152,0.056583528,0.028569152
ABCA17P,0.526068812,0.454175893,0.389566812,1.214124805,1.195347598,1.35614381
ABCA2,5.923386916,5.9800253,6.029452886,6.041549645,6.060047384,6.121844298
ABCA3,4.63343121,4.61117238,4.718087584,5.070818638,4.985955755,5.04745114
ABCA4,0.669026766,0.526068812,0.464668267,0.042644337,0.056583528,0.028569152
ABCA5,2.819668183,2.140778656,2.427606173,3.280956314,2.912649865,3.026800059
ABCA6,0.056583528,0,0.028569152,0.084064265,0.097610797,0.028569152
ABCA7,2.782408565,2.895302621,2.99095486,2.589763487,2.572889668,2.367371066
ABCA8,0,0,0,0.014355293,0,0
