,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_FasR1,MCF7_FasR2,MCF7_FasR3
1-Dec,0,0,0,0,0,0
1-Mar,5.204375511,5.049195106,5.037821465,5.338780944,4.937344392,5.322649262
1-Sep,1.182692298,1.632268215,1.541019153,0.847996907,0.895302621,1.599317794
10-Mar,0.411426246,0.411426246,0.687060688,0.454175893,0.333423734,0.378511623
10-Sep,2.319039816,2.618238656,2.353323291,3.46727948,2.969012308,3.3305584
11-Mar,0,0,0,0,0,0
11-Sep,5.383013015,5.668175869,5.391973883,5.112283109,4.532940288,4.904002316
12-Sep,0.042644337,0,0,0.275007047,0.176322773,0.432959407
14-Sep,0.014355293,0,0,0,0,0
15-Sep,6.672566776,6.730911624,6.575463612,7.116759813,6.538848521,6.788424707
2-Mar,4.228049048,4.278728213,4.283180979,4.558267634,4.089159132,4.316869805
2-Sep,6.053328593,6.074034394,5.978424465,5.776630423,5.01346226,5.532940288
3-Mar,1.150559677,1.09085343,1.521050737,1.298658316,1.028569152,1.250961574
3-Sep,2.570462931,2.724650272,2.46727948,2.523561956,2.192194165,2.070389328
4-Mar,0,0,0,0,0,0
4-Sep,1.220329955,0.948600847,0.956056652,1.049630768,0.641546029,0.748461233
5_8S_rRNA,0,0,0,0,0,0
5-Mar,5.218393711,5.635754391,5.21218021,4.732811872,3.669026766,4.537296067
5-Sep,3.039138394,2.948600847,2.959770155,1.495695163,1.021479727,1.201633861
5S_rRNA,0,0,0,3.257010618,0,0
6-Mar,7.432124273,6.944155663,6.794285888,7.217715411,6.263410059,6.36719631
6-Sep,0.40053793,0.333423734,0.22650853,2.192194165,1.847996907,2.080657663
7-Mar,5.90014226,6.002027365,5.807354922,5.454504938,4.921721947,5.075532631
7-Sep,6.02989455,6.205548911,6.130724991,6.002027365,6.068670811,6.020146573
7SK,2.166715445,1.59454855,1.659924558,1.124328135,0,1.232660757
8-Mar,2.40053793,2.924099886,2.901108243,2.114367025,1.350497247,1.700439718
8-Sep,5.295355693,5.244125943,5.300123725,5.373996142,4.597531174,5.148120631
9-Mar,4.433627167,5.021479727,4.965784285,5.502394256,5.525755693,5.638653116
9-Sep,7.105070402,7.292965755,7.417008587,5.809928866,5.083638879,5.731997787
A1BG,2.124328135,2.707082992,2.933572638,2.389566812,2.378511623,3.106013238
A1BG-AS1,3.03562391,2.867896464,2.833902077,3.891419187,3.464668267,3.71259578
A1CF,0,0,0,0,0,0
A2M,0.422233001,0.59454855,0.485426827,1.35614381,1.182692298,1.416839742
A2M-AS1,0.86393845,0.659924558,0.704871964,1.021479727,0.773996325,0.782408565
A2ML1,0.137503524,0.124328135,0.097610797,0.704871964,0.604071324,0.432959407
A2ML1-AS1,0.163498732,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0
A2MP1,0.176322773,0.422233001,0.275007047,1.220329955,1.627606838,1.361768359
A3GALT2,0,0,0,0,0,0
A4GALT,3.907852072,3.892391026,4.04176865,1.910732662,1.35614381,1.794935663
A4GNT,0,0,0,0.028569152,0,0
AA06,0,0,0,0,0,0
AAAS,6.286696365,6.258518925,6.192588722,6.684257705,6.174925683,6.362294538
AACS,5.376081967,5.379551653,5.463687842,3.980939266,3.659924558,3.887525271
AACSP1,0.310340121,0.263034406,0.201633861,0.056583528,0.070389328,0.124328135
AADAC,0,0,0,0.622930351,0.389566812,0.432959407
AADACL2,0,0,0,0.097610797,0.042644337,0.028569152
AADACL2-AS1,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0
AADAT,3.326249701,3.294253136,3.313245852,3.927896454,3.23878686,3.553360503
AAED1,2.9202933,2.944858446,2.757023247,2.601696516,2.587364991,2.625270489
AAGAB,5.82858081,6.176522247,6.050936965,5.388533979,4.915042791,5.430619811
AAK1,2.3305584,2.381283373,2.336283388,2.257010618,1.819668183,2.09085343
AAMDC,4.222650022,4.362469889,4.18030702,4.464014725,4.834407842,4.638073837
AAMP,7.091594061,7.325710208,7.347665656,7.131959823,6.893483563,7.481799432
AANAT,0,0.321928095,0,0.250961574,0.084064265,0.124328135
AAR2,4.032982417,4.272769732,4.234961095,4.073820233,3.44625623,3.977279923
AARD,1.970853654,2.384049807,2.313245852,0.150559677,0.042644337,0.028569152
AARS,7.749400182,7.841407097,7.913428001,7.157751137,6.625270489,7.124845063
AARS2,3.624100895,3.464668267,3.489286023,3.924099886,2.961623328,3.57167681
AARSD1,5.049630768,4.722466024,4.560103513,5.087462841,5.046578367,4.946262984
AARSP1,0,0,0,0,0,0
AASDH,2.901108243,3,2.698218478,2.010779839,1.310340121,1.735522177
AASDHPPT,4.175524601,4.451540833,4.158660175,3.892391026,3.577730931,3.841973119
AASS,0.622930351,0.495695163,0.344828497,0.124328135,0.097610797,0.070389328
AATF,5.321206567,5.314333994,5.289096702,5.336283388,5.144454314,5.339850003
AATK,1.207892852,1.687060688,1.835924074,0.310340121,0.40053793,0.23878686
AATK-AS1,0,0.070389328,0,0,0,0
AB015752.3,0.111031312,0.214124805,0.201633861,0,0.22650853,0.23878686
AB019438.66,0,0,0,0,0,0
AB019440.50,0,0,0,0,0,0
AB019441.29,0.367371066,0.50589093,0.485426827,0.713695815,0.704871964,0.855989697
ABAT,6.348197003,6.590212761,6.392832579,3.815575429,3.552131108,4.045268215
ABBA01010927.1,0,0,0,0,0,0
ABBA01010927.2,0,0,0,0,0,0
ABBA01014710.1,0,0,0,0,0,0
ABBA01015879.1,0,0,0,0,0,0
ABBA01017803.1,0.176322773,0.176322773,0.163498732,0.070389328,0.028569152,0.014355293
ABBA01031658.1,0,0,0,0,0,0
ABBA01031663.1,0,0,0,0,0,0
ABBA01031664.1,0,0.056583528,0.042644337,0,0,0
ABBA01031674.1,0,0,0,0,0,0
ABC12-47043100G14.2,0,0,0,0,0,0
ABC12-47964100C23.1,0,0,0,0.028569152,0.056583528,0
ABC12-49244600F4.4,0.485426827,0.286881148,0.40053793,0.250961574,0.163498732,0.056583528
ABC14-1080714F14.1,0,0,0,0,0,0
ABC7-42391500H16.2,0,0,0,0,0,0
ABC7-42418200C9.1,0,0,0,0,0,0
ABC7-43041300I9.1,0,0,0.310340121,1.169925001,0,0
ABC7-481722F1.1,0,0,0,0,0,0
ABCA1,0.084064265,0.137503524,0.124328135,0.097610797,0.056583528,0.056583528
ABCA10,0.042644337,0.056583528,0.014355293,0.201633861,0.176322773,0.163498732
ABCA11P,2.498250868,2.443606651,2.214124805,2.084064265,1.941106311,1.879705766
ABCA12,2.014355293,1.879705766,1.655351829,1.316145742,0.790772038,0.956056652
ABCA13,0,0,0,0,0,0
ABCA17P,0.713695815,0.250961574,0.895302621,0.389566812,0.214124805,0.475084883
ABCA2,6.704318678,6.478001056,6.6387979,7.100872552,6.599466579,6.925643447
ABCA3,6.053980168,5.204766751,5.360364277,5.357200085,4.325530332,4.995032192
ABCA4,0.23878686,0.250961574,0.084064265,0.963474124,0.650764559,0.765534746
ABCA5,2.837943242,2.853995647,2.811471031,4.294253136,4.773468928,4.269033146
ABCA6,0.028569152,0.028569152,0,0.014355293,0,0.028569152
ABCA7,3.723558561,3.092545742,3.436961338,4.024142346,3.304511042,3.888499736
ABCA8,0,0,0,0,0,0
ABCA9,0,0,0,0,0,0
ABCA9-AS1,0,0,0,0,0,0
ABCB1,0,0,0,0.042644337,0,0
ABCB10,2.837943242,2.948600847,2.786596362,3.150559677,2.316145742,2.827819025
ABCB10P1,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0
ABCB11,0,0,0,0.014355293,0.028569152,0.014355293
ABCB4,0.545968369,0.422233001,0.5360529,0.831877241,1.014355293,0.687060688
ABCB5,0,0,0,0,0,0
ABCB6,5.894575273,5.309248961,5.503984704,6.886428211,6.68116812,6.570918255
ABCB7,3.526068812,3.386810946,3.350497247,3.364572432,2.526068812,3.025028794
ABCB8,4.762880293,4.646162657,4.883620816,4.515384461,3.745237332,4.287620044
ABCB9,4.072963272,3.866907978,3.914564523,3.258518925,2.301587647,2.969012308
ABCC1,5.06436554,4.843983844,4.931683057,3.482848283,2.336283388,2.847996907
ABCC10,4.174725988,3.6622055,3.827819025,4.403949364,4.418864577,4.040015679
ABCC11,0.5360529,0.545968369,0.333423734,0.111031312,0.042644337,0.214124805
ABCC12,0,0,0.042644337,0,0,0
ABCC13,0.084064265,0.124328135,0.23878686,0,0,0
ABCC2,0.475084883,0.422233001,0.422233001,4.486070744,3.337711092,3.378511623
ABCC3,4.75595577,4.536674618,4.72628629,5.491211756,4.324810603,4.484782623
ABCC4,0.90303827,0.86393845,0.815575429,1.232660757,0.790772038,1
ABCC5,5.735251376,4.904002316,4.687620632,7.826103535,6.766992617,7.070174625
ABCC5-AS1,0,0,0,0,0,0
ABCC6,0.695993813,0.669026766,1.15704371,1.673556424,1.748461233,1.63691458
ABCC6P1,0.411426246,0.604071324,0.263034406,0.847996907,0.545968369,0.687060688
ABCC6P2,0.790772038,1.257010618,0.443606651,0.604071324,0.799087306,0.555816155
ABCC8,1.622930351,1.163498732,1.659924558,1.851998837,1.835924074,1.3950628
ABCC9,0,0,0.014355293,0,0,0
ABCD1,4.61176256,4.75595577,4.912170803,4.826802684,4.032982417,4.60940039
ABCD1P2,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0
ABCD1P4,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0
ABCD2,0,0.014355293,0,0,0,0
ABCD3,3.801158656,3.849999259,3.891419187,4.388189537,3.931683057,4.165911939
ABCD4,5.544423562,5.262658655,5.215678597,5.552745937,5.14689956,5.282069075
ABCE1,6.331275267,6.146084939,6.116655862,5.578032972,5.16470584,5.413120146
ABCF1,6.114158769,6.141596278,6.110405007,5.834407842,4.754353072,5.603774686
ABCF2,5.394719913,5.310340121,5.314696526,5.132165525,4.397118409,5.076388069
ABCF2P1,0,0,0,0,0,0
ABCF2P2,0,0,0,0,0,0
ABCF3,5.449561375,5.72628629,5.634593268,5.891662208,5.897240426,6.03848008
ABCG1,3.703765179,3.514753498,3.313245852,5.13873257,4.792334806,5.209453366
ABCG2,2.301587647,1.748461233,1.327687364,8.502155538,7.207502459,7.789272795
ABCG4,0.097610797,0.124328135,0.097610797,0.014355293,0.014355293,0.056583528
ABCG5,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0
ABHD1,1.622930351,1.744161096,1.545968369,1.941106311,1.967168608,1.906890596
ABHD10,4.541019153,4.536674618,4.499527024,3.815575429,3.714795011,3.812498225
ABHD11,6.830356747,7.102448178,7.103917211,7.261624836,7.067273007,7.401647531
ABHD11-AS1,0.956056652,0.731183242,1.014355293,1.169925001,2.010779839,1.570462931
ABHD12,5.370164281,5.375387027,5.537296067,5.627315001,5.396433531,5.693486957
ABHD12B,0,0,0,0.056583528,0,0.084064265
ABHD13,1.914564523,1.974529312,1.89917563,1.384049807,1.063502942,1.03562391
ABHD14A,3.336283388,3.247927513,3.269033146,3.060047384,3.407352751,3.382667253
ABHD14A-ACY1,1.207892852,1.333423734,1.163498732,1.748461233,1.257010618,1.416839742
ABHD14B,4.700994494,4.762880293,4.635754391,4.632268215,4.325530332,4.577730931
ABHD15,3.528571319,3.292781749,3.440952198,3.077242999,2.432959407,2.86393845
ABHD15-AS1,0,0,0,0,0,0
ABHD16A,5.246788094,5.088311236,5.038260575,5.875042803,5.234961095,5.417515003
ABHD16B,0,0.028569152,0.028569152,0.028569152,0,0.014355293
ABHD17A,3.973611276,4.250961574,4.759688488,4.299391206,3.713695815,4.921245889
ABHD17AP1,0,0,0.070389328,0.084064265,0,0
ABHD17AP3,0,0,0,0,0,0.042644337
ABHD17AP4,0,0,0,0,0,0
ABHD17AP6,0.056583528,0,0,0.028569152,0,0
ABHD17AP9,0,0,0,0,0,0
ABHD17B,3.068670811,3.184280294,3.037382222,2.809414444,2.010779839,2.477677328
ABHD17C,6.223229457,6.391286558,6.330379128,4.932155684,4.194559886,4.949067966
ABHD2,7.211304286,6.504938132,6.491211756,3.22342255,1.622930351,2.292781749
ABHD3,5.006746832,4.096767855,3.878725341,5.231125158,4.341274184,4.003602237
ABHD4,3.334854269,3.272023189,3.631104282,5.950468414,5.807870078,5.905928478
ABHD5,3.995484519,4.238022518,3.950468414,4.140778656,3.803227036,4.146492307
ABHD6,1.613531653,1.555816155,1.608809243,1.678071905,1.220329955,1.13093087
ABHD8,1.735522177,1.929790998,2.577730931,1.883620816,1.344828497,2.007195501
ABI1,4.671293372,5.054848477,4.816087659,4.621758857,3.925999419,4.501439145
ABI2,6.143230135,6.415826257,6.380071387,4.980482356,4.156234798,4.888986721
ABI3,0,0.070389328,0.070389328,0.028569152,0.028569152,0.014355293
ABI3BP,0,0,0,0,0,0.014355293
ABL1,4.599912842,4.86393845,4.760220946,4.368069877,3.570462931,4.135042286
ABL2,1.769771739,2.063502942,1.782408565,1.650764559,1.350497247,1.521050737
ABLIM1,3.659924558,3.512226887,3.129283017,1.257010618,1,1.176322773
ABLIM2,1.974529312,2.232660757,2.025028794,1.176322773,0.575312331,1.13093087
ABLIM3,1.687060688,2.021479727,1.655351829,2.687060688,2.40053793,2.72900887
ABO,0,0,0,0,0,0
ABR,5.719731057,5.540709263,5.627315001,4.452200049,3.577730931,4.059182199
ABRA,0,0,0,0,0,0
ABRACL,5.933336576,6.28169825,6.318316841,5.294620749,5.704871964,5.566206293
ABT1,4.125155131,4.412781525,4.456806149,4.076388069,3.922197848,4.182692298
ABT1P1,0,0,0,0,0,0
ABTB1,3.581351247,3.423578171,3.462052319,3.412781525,2.286881148,2.541019153
ABTB2,2.935459748,2.937344392,3.121015401,3.982765463,2.90303827,3.612352499
AC000003.1,0,0,0,0,0,0
AC000029.1,0,0,0,0,0,0
AC000032.2,0,0.137503524,0,0,0,0
AC000036.4,0,0,0,0.014355293,0,0
AC000041.10,0,0,0,0,0,0
AC000041.8,0,0,0,0,0,0
AC000067.1,0,0,0,0,0,0
AC000068.10,0.150559677,0.411426246,0.389566812,0.918386234,0.321928095,0.650764559
AC000068.5,1.14404637,1.03562391,0.970853654,1.275007047,0.992768431,1.214124805
AC000068.9,0.604071324,0.895302621,0.555816155,1.280956314,1.339137385,1.63691458
AC000077.2,0,0,0,0,0,0
AC000078.5,0,0,0,0.056583528,0,0
AC000081.2,0,0,0,0,0,0
AC000089.3,0.150559677,0,0.201633861,0.176322773,0.389566812,0.298658316
AC000095.9,1.028569152,0.545968369,0.432959407,2.901108243,2.518535139,2.488000771
AC000099.1,0,0,0,0,0,0
AC000111.3,0,0,0,0,0,0
AC000111.4,0,0,0,0,0,0
AC000111.5,0,0,0,0,0,0
AC000111.6,0,0,0,0,0,0
AC000120.7,0.687060688,0.214124805,0.111031312,1.59454855,0.464668267,0.565597176
AC000123.2,0.432959407,0.695993813,0.516015147,0.90303827,0.495695163,0.516015147
AC000123.3,0.933572638,1.207892852,0.948600847,1.541019153,2.469885976,1.782408565
AC000123.4,0,0,0,0,0,0
AC000124.1,0,0,0,0,0.056583528,0
AC000362.1,0,0,0,0,0,0
AC000367.1,0,0,0,0,0,0
AC000370.2,0,0,0,0,0,0
AC000374.1,0,0,0,0,0,0
AC000403.1,0,0,0,0,0,0
AC000403.4,0,0,0,0,0,0
AC001226.7,0.344828497,0.124328135,0,0.378511623,0.137503524,0.084064265
AC002044.1,0.22650853,0.056583528,0.056583528,0.028569152,0.056583528,0.042644337
AC002044.3,0,0,0,0,0.137503524,0
AC002044.4,0,0,0,0,0,0
AC002056.3,0.097610797,0.084064265,0,0.263034406,0.286881148,0.298658316
AC002056.5,0,0,0,0,0,0
AC002059.10,1.201633861,0.790772038,0.263034406,1.427606173,1.875780063,1.794935663
AC002064.4,0,0,0,0,0,0
AC002064.5,0,0,0,0.042644337,0,0
AC002064.7,0,0,0,0,0,0
AC002066.1,0,0.084064265,0.201633861,0.056583528,0,0
AC002066.2,0,0,0,0,0,0
AC002069.5,0,0,0,0,0,0
AC002069.6,0,0,0,0,0,0
AC002070.1,0,0,0,0,0,0
AC002072.1,0,0,0,0,0,0
AC002075.3,0,0,0,0,0,0
AC002075.4,0.464668267,0,0,0.298658316,0.495695163,0
AC002076.10,0.124328135,0.124328135,0.111031312,0.214124805,0,0
AC002115.5,0,0,0,0,0,0
AC002115.9,0,0,0.111031312,0.070389328,0,0.084064265
AC002116.7,1.5360529,1.570462931,1.15704371,1.910732662,1.137503524,1.879705766
AC002116.8,1.599317794,0.028569152,1.655351829,2.316145742,1.82374936,2.733354341
AC002117.1,1.111031312,0.214124805,0.201633861,1.438292852,0.98550043,0.782408565
AC002127.2,0,0,0,0,0,0
AC002127.4,0,0,0,0,0,0
AC002128.5,0,0,0,0,0,0
AC002306.1,0,0,0,0,0,0
AC002310.10,0,0,0,0,0,0
AC002310.12,3.375734539,2.811471031,2.849999259,2.169925001,1.427606173,1.799087306
AC002310.13,0,0,0,0,0,0
AC002310.14,0.632268215,0.464668267,0.545968369,0.565597176,0.163498732,0.40053793
AC002310.17,0,0,0,0,0,0
AC002310.7,0.411426246,0.650764559,0.622930351,0.641546029,0.565597176,0.90303827
AC002314.4,0,0,0,0,0,0
AC002331.1,0,0,0,0,0,0
AC002365.5,0.163498732,0.163498732,0,0.028569152,0,0
AC002366.1,0,0,0,0,0,0
AC002366.3,0,0,0,0,0,0
AC002368.4,0,0,0,0,0,0
AC002383.2,0,0,0,0,0,0
AC002386.1,0,0,0,0,0,0
AC002389.1,0,0,0,0,0,0
AC002395.1,0,0,0,0,0,0
AC002398.11,0.214124805,0,0,0.124328135,0,0.22650853
AC002398.12,0,0.097610797,0,0.111031312,0,0.137503524
AC002398.13,0,0,0,0,0.189033824,0
AC002398.9,2.028569152,2.153805336,2.82374936,3.432959407,3.521050737,3.705977902
AC002400.1,0,0,0,0,0,0
AC002401.1,0,0,0,0,0,0
AC002429.1,0,0,0,0,0,0
AC002429.4,0,0,0,0,0,0
AC002429.5,0,0,0,0,0,0
AC002451.3,0.124328135,0.526068812,0,1.070389328,0.604071324,0.622930351
AC002454.1,0,0,0,0,0,0
AC002456.2,0,0,0,0,0,0
AC002463.3,0,0,0,0,0,0
AC002465.2,0,0,0,0,0,0
AC002467.7,2.147306699,2.510961919,2.321928095,1.618238656,1.739848103,1.731183242
AC002472.11,0,0,0,0,0,0
AC002480.2,0,0,0,0,0,0
AC002480.3,0,0,0,0.782408565,0.565597176,0.584962501
AC002480.4,0,0,0,0.189033824,0.23878686,0.084064265
AC002480.5,0,0,0,0.263034406,0.084064265,0
AC002486.2,0,0,0,0,0,0
AC002486.3,0,0,0,0,0,0
AC002511.2,0,0,0,0,0,0
AC002511.3,0,0,0.056583528,0.028569152,0,0
AC002519.6,0,0,0,0,0,0
AC002519.8,0.084064265,0.014355293,0.014355293,0,0,0
AC002523.1,0,0,0,0,0,0
AC002539.1,0,0,0,0,0,0
AC002539.2,0,0,0,0,0,0
AC002542.2,0,0,0,0,0,0
AC002543.2,0,0,0,0,0,0
AC002550.5,0,0.056583528,0,0,0,0
AC002550.6,0.526068812,0.35614381,0.344828497,0.321928095,0.40053793,0.275007047
AC002551.1,0,0,0,0,0,0
AC002553.4,0,0,0,0,0,0
AC002558.1,0,0,0,0,0,0
AC002978.1,0,0,0,0,0,0
AC002979.1,0,0,0,0,0,0
AC002981.1,0,0,0,0,0,0
AC002984.2,0,0,0,0,0,0
AC002985.3,0,0.163498732,0,0.097610797,0.35614381,0.23878686
AC003001.1,0,0,0,0,0,0
AC003002.4,0,0,0,0,0,0
AC003002.6,0.475084883,0.782408565,0.298658316,0.23878686,0,0
AC003003.5,0.042644337,0.014355293,0,0.028569152,0,0.014355293
AC003005.2,0,0,0,0,0,0
AC003005.4,0,0,0,0,0,0
AC003006.1,0,0,0,0,0,0
AC003006.7,0.250961574,0,0.214124805,0.839959587,0.124328135,0.111031312
AC003009.1,0,0,0,0,0,0
AC003009.2,0,0,0,0,0,0
AC003013.1,0,0,0,0,0,0
AC003045.1,0,0,0,0,0,0
AC003075.4,0,0,0.22650853,0.344828497,0.111031312,0.201633861
AC003080.4,0,0,0,0,0,0
AC003084.2,0,0,0,0,0,0
AC003088.1,0.389566812,0,0.124328135,0,0,0
AC003090.1,0,0,0,0,0,0
AC003092.1,0,0,0,0,0,0
AC003092.2,0,0,0,0.097610797,0,0
AC003101.1,0,0,0.137503524,0.176322773,0,0
