"","MCF7_S1","MCF7_S2","MCF7_S3","MCF7_TamR1","MCF7_TamR2","MCF7_TamR3"
"43891",5.202339355,5.379274385,5.58044702,6.273180167,6.063697072,5.806504512
"43892",5.519919261,5.392901253,5.539034703,5.258255085,5.407930529,5.572647178
"43893",5.144087169,5.16711703,4.704650675,5.021835027,4.482267475,5.214824219
"43895",6.936979435,7.249805591,6.838888755,7.195633038,7.371463028,7.34283916
"43896",8.446504379,8.427727677,8.212812491,7.78640033,8.035332482,7.761923493
"43897",8.057493596,8.27428496,7.78307026,7.47999847,7.536962071,7.443275112
"A2M",1.458906907,2.074847916,2.37517848,2.02112434,2.355862006,2.213813846
"AAAS",6.738632747,6.510534742,7.044689186,6.667892125,6.421778722,6.518000009
"AACS",7.797525355,7.794233893,7.796519886,8.10283132,8.181157227,8.162089162
"AADAC",0.761285273,1.528571319,2.367650631,3.60430859,2.516267344,3.248838402
"AAGAB",7.132319783,7.152984468,7.181649224,6.784844201,6.592770957,6.473786912
"AAK1",5.7258502,5.728437554,5.662518847,5.778471434,5.591888817,5.797557778
"AAMP",7.754179339,7.379387032,7.715934543,8.947972919,8.943103779,8.815095048
"AANAT",1.981852653,2.300709472,3.277687254,3.226046053,2.56193706,3.14208663
"AAR2",6.748716151,6.718813682,6.7910717,6.880661039,6.575055116,6.630274407
"AARS",9.722527502,9.578985872,9.844953645,10.37593649,10.46586532,10.4432347
"AASDHPPT",6.521521924,6.750753875,6.699676553,7.374491799,7.605457294,7.085647723
"AASS",4.30626224,3.471447616,4.04491864,2.925429821,2.419808529,3.044568981
"AATF",7.192401321,7.321973178,7.229664823,7.861266844,7.715680629,7.682025441
"AATK",5.677790101,5.696439021,5.533033765,5.859596903,6.000495841,5.564987801
"ABAT",7.796772941,7.958529516,8.183878498,7.420558193,7.387026438,7.054935279
"ABCA1",4.047363887,4.351628329,3.50156653,4.56285296,4.68212379,4.528633826
"ABCA12",6.891650058,6.996388746,6.238614918,5.958239493,6.174546239,5.633867092
"ABCA2",6.77367991,6.775221779,6.285679634,6.525536469,6.361943774,6.290295375
"ABCA3",6.761670898,6.656667974,6.920841115,7.2696597,7.406604695,7.094573898
"ABCA4",3.756169328,3.438825113,3.86710573,1.722028778,4.58345891,3.517149688
"ABCA5",5.794753755,5.976065717,5.699329526,4.598603411,4.597054368,4.399581281
"ABCA6",2.133563526,2.905543451,3.499527024,1.977829417,1.779049553,2.39149279
"ABCA8",3.93479954,3.493006791,2.805498835,2.143066832,2.820281097,4.067638717
"ABCB1",4.478195258,4.784346932,4.395748328,4.608099546,4.457659951,4.530070742
"ABCB11",4.854344805,4.12647734,3.347098671,3.854893311,4.378095401,3.788059224
"ABCB4",4.989638595,4.684257705,3.228203009,4.662433396,4.050849922,5.160516874
"ABCB6",6.914791721,6.482993449,6.386397112,7.197472276,7.282782645,7.296540002
"ABCB7",5.273739662,5.135986257,5.125609777,5.762534855,5.768475482,5.416197951
"ABCB8",4.596815906,4.806581843,5.18737187,5.060739158,5.011271989,5.105594276
"ABCB9",6.219149155,6.226161686,5.020235488,5.519070071,5.183446814,5.352122899
"ABCC1",5.443109313,5.808848369,6.102028179,6.616872265,6.640143691,6.365570068
"ABCC10",6.399649634,6.158478413,5.97471285,6.277445495,6.530382926,6.567697546
"ABCC2",2.52656966,2.558512553,3.215057281,2.303634645,1.930926531,2.116697443
"ABCC3",4.177279996,3.414541488,4.323658291,5.69588249,5.734194764,5.564622052
"ABCC4",2.041593449,3.585323129,3.133727907,2.853396894,2.631104282,3.127303106
"ABCC5",7.185321468,7.333128509,6.461643148,8.190372876,8.027386312,8.246027981
"ABCC6",3.313245852,3.522557993,4.534123872,3.18142064,4.52869633,4.61022759
"ABCC8",4.26993081,3.134056614,3.942514505,2.44625623,3.699773705,3.946450153
"ABCC9",3.497995501,3.29130886,3.652486495,3.421963816,4.808385051,3.12763328
"ABCD1",6.983221651,6.754727194,6.393004257,6.519919261,6.575161033,6.615298579
"ABCD2",2.365972428,2.520799374,2.489286023,2.354452161,2.811881996,2.807148808
"ABCD3",8.043103861,8.565391541,8.30989921,8.235731846,8.432592008,7.980876449
"ABCD4",5.679226726,6.174725988,5.927920151,5.515542158,5.145310622,5.500961352
"ABCE1",6.744201469,6.874624855,7.886226992,8.02465766,8.343865255,8.140712204
"ABCF1",8.215343702,7.977566144,8.347129683,8.324963576,8.374335294,8.351928624
"ABCF2",6.936861687,6.910660717,7.330181902,7.812023239,7.878296196,7.705411215
"ABCF3",7.401203793,7.06521685,6.945361896,7.097473852,7.078865972,7.072952556
"ABCG1",7.468395963,7.772175989,7.021612975,6.887439974,6.850211846,6.864904218
"ABCG2",7.334192823,7.411417771,6.087080901,6.162894799,5.82901231,6.235746204
"ABCG4",3.704207995,3.707193454,3.575554373,3.632035504,4.064106815,2.969380765
"ABHD10",7.349029053,7.493070858,7.652264194,7.645680046,7.631751836,7.573806216
"ABHD2",7.021846129,6.721304297,6.679494175,6.467214258,6.598633184,6.422283467
"ABHD3",5.518314815,5.294253136,4.985682577,6.263710511,6.506160775,5.870857864
"ABHD4",7.472219678,7.496174702,7.235238804,6.85847839,6.89207525,7.162753845
"ABHD5",6.008943978,6.631584519,6.281141834,6.384101627,6.42921423,6.582721578
