"","WS8V_1","WS8V_2","MCF7V_1","MCF7V_2","TAMRV_1","TAMRV_2"
"A1BG",0,0,0,0,0,0
"A1CF",0,0,0.120086719248339,0,0.0541482961644431,0
"A2M",0.0685668937726536,0,1.1754298341052,0.112544720615528,0,0
"A2ML1",0.578325229564704,0.244240649572241,0.395294955590262,0.532301413973496,0.205372409996796,0.0972594425371069
"A3GALT2",0,0,0,0,0,0
"A4GALT",3.31571882230999,3.52540935346918,3.95676699917748,3.63130922672831,4.82139504962239,4.67540927593851
"A4GNT",0,0,0.0612923439281745,0.0573695346363082,0,0
"AAAS",5.01807892520198,5.12448631908044,5.33972236558267,5.14574889961778,5.07191918076478,5.19952892094171
"AACS",5.84257149676973,6.01447677456318,6.72579626517193,6.30368983039058,6.231181876051,6.22657061460817
"AADAC",0.0632663136187197,0,0.0612923439281745,0,0,0
"AADACL2",0.0632663136187197,0,0.120086481137018,0,0,0
"AADACL3",0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0
"AADAT",3.33741938119805,3.08870217380277,2.95312001788388,3.12110318663944,3.45310667414242,3.31846397600203
"AAED1",3.22113508995415,3.18448035094486,3.06102447119396,3.01169527087261,2.85279762486529,3.03391762151278
"AAGAB",6.59080738634872,6.38712502720978,6.84226205292981,6.6707421557325,6.45948668829444,6.42778782055641
"AAK1",5.40938181975854,5.43182387906137,5.00841182366258,5.08254420385861,4.51340223749572,4.41160709046468
"AAMDC",3.34906266921456,3.51147495012916,2.85790202711871,2.92834878752698,3.72021426976746,3.8294051596645
"AAMP",7.18171972154867,7.36826216175279,7.4368909135258,7.25501486164044,7.03734673190163,7.12874367638689
"AANAT",0.0632663136187197,0.0522681867367762,0.333881736214678,0.266437149902627,0.298043456589374,0.0972594895638614
"AAR2",5.20935163507581,5.33769251740313,5.41641517277233,5.39971255252613,5.85954644147722,5.94412373080055
"AARD",1.41931820115127,1.46774194756305,3.0675324158195,1.98600086192513,0.625356480508371,1.23941941951503
"AARS",7.9752100241822,8.18198394611565,8.38248144113075,8.26878463192314,8.15343581776562,8.17893908244102
"AARS2",4.78283286268542,4.96067879731153,4.38374548247558,4.70807277697306,5.60772966865871,5.54122694402171
"AARSD1",3.55304118235481,3.50714253136866,3.79685987853581,3.60453312994771,3.86974588835921,3.89913752559465
"AASDH",3.56116736766186,3.68537198464456,3.6903577394905,4.06076904614546,3.74628338260497,3.6260607081447
"AASDHPPT",6.17045835978189,6.02059862392541,5.53139698381817,5.6925409895893,5.23481453533102,5.06640496068663
"AASS",3.84411106306795,3.87897915604744,1.18342112272924,2.71571560317697,0,0
"AATF",5.5636933925624,5.69805814731173,5.67834868096318,5.46421201332203,5.51582765634808,5.63728244849119
"AATK",1.11472947410352,1.19615618250154,1.58323135919905,1.29079899857152,1.24485802863542,1.23873956872412
"AATK-AS1",0,0,0,0,0.0541482905842476,0.0494491605942155
"ABAT",7.94999015922431,8.21953161141889,7.19388322332913,7.7544885181672,6.60663112666586,6.3212308347906
"ABC7-42404400C24.1",1.37083010435773,0.962017164379068,1.04267591966829,0.262295129724995,2.54094132712167,3.13320296896715
"ABCA1",2.91551664597457,2.86650869769647,3.52391329781341,3.00324870645033,0.298043456589374,0.0494491605942155
"ABCA10",1.04182816754589,0.483632737507414,1.4669323143873,1.3341482554817,0.128365190855718,0.188374194492051
"ABCA12",5.21284302208738,4.22850469006593,6.22793015128689,6.38462832461022,6.86469432161965,6.34031272911399
"ABCA13",0,0.151445171255283,0,0.165687256947313,0,0.0494491605942155
"ABCA2",7.54310217878237,7.68656742072673,8.5197839873873,8.29850933030498,7.5734622176692,7.74914211627958
"ABCA3",6.34312864878065,6.29297874131115,7.30126567984207,7.24512799872366,6.52006745432835,6.64008706520608
"ABCA4",1.65772663142353,1.50142100297521,0.283329294311264,1.03604376844734,2.6590593264976,3.35172872756395
"ABCA5",6.10661146814801,5.75894597894464,5.94017624260637,6.33319538892517,4.31159581276031,3.99680909179362
"ABCA6",0,0,0.244083041833459,0.324705604388213,0,0
"ABCA7",3.56753444874186,3.96839531804671,4.28255578076743,4.34577811327126,4.34125851202274,4.47432487380959
"ABCA8",0,0,0,0,0,0
"ABCA9",0.0632663136187197,0,0.176578109395297,0.360608432110324,0,0
"ABCB1",0,0,0.605764762752966,0.208680489746548,0,0
"ABCB10",4.81611728810039,4.76011433171245,4.55076537719449,4.73055857822264,4.65657488448871,4.68651256096795
"ABCB11",0,0,0,0,0,0
"ABCB4",1.43482161075868,0.928867437744052,2.32112718938388,2.36077235379515,0.764597222886438,0.472061913483771
"ABCB5",0,0,0.0612923439281745,0,0,0
"ABCB6",5.31698700173972,5.58530416304018,5.6470792641884,5.21628627156938,5.48201381839027,5.71117630555443
"ABCB7",4.36491856068462,4.4632872975317,4.04298351980376,4.42810553724228,3.59199688555728,3.60752373767233
"ABCB8",5.11116833102866,5.24733081787692,5.52485872025697,5.13758224741321,6.20440644783463,6.31535493147174
"ABCB9",4.43641721170314,4.51043228733615,6.05525352798267,5.40159330912439,4.7676803689653,5.04316355577237
"ABCC1",6.35606679774614,6.5101063867398,6.84703126399008,6.73148616638492,5.89845424922205,6.21446387015712
"ABCC10",5.22440539007441,5.34752244407946,5.48276892202389,5.66809329711551,5.45603997917215,5.59120588774606
"ABCC11",0.0435052235586052,0,0.300201500880884,0.234434499390434,1.77218554174449,1.35079369383386
"ABCC12",0,0,0,0,0.156704605091657,0
"ABCC2",2.17629164637726,2.51570193194085,2.6035493108549,1.64922338941743,3.27062940056745,2.75563625157618
"ABCC3",6.43672903460416,6.91632246806283,5.55459635476711,5.19179145702745,5.14554040416512,4.77621023402816
"ABCC4",2.18315578237827,1.91343042244635,3.16063203031649,3.01053229193878,3.14411418077014,3.20075433609515
"ABCC5",8.77885670210247,8.86666292351588,8.6245392566524,9.09705955054354,7.80422856512829,7.61907131743071
"ABCC6",0.343659881931078,0.409897377504333,0.428420701234499,0.533635050850232,0.498278069574243,0.598700360413429
"ABCC8",0.99818551309907,1.17317879408061,1.65842422298625,1.84042445325994,0.724426372298236,0.939958465407586
"ABCC9",0.237948457714874,0,0,0.0573695346363082,1.33904576703305,0.573545261223163
"ABCD1",5.47227372873795,5.53369900919537,6.04880734810444,5.91614355912146,5.63175565333626,6.03962535887276
"ABCD2",0,0,0,0,0,0
"ABCD3",5.21933318568402,5.1006590653183,5.17786312731282,4.98807472451093,4.53116880371141,4.54504808663428
"ABCD4",4.48262342361905,4.51136434354092,4.67658237849626,4.78760414783519,5.28433133313332,5.41910113576649
"ABCE1",6.81111938417803,6.54953139041291,6.8048408601198,6.47556624338425,7.11906251392031,6.79836467867603
"ABCF1",7.20990079962367,7.37889307608577,7.09248245156704,6.92579912546625,7.17754966561214,7.18498637899928
"ABCF2",6.37020775781631,6.57235044694907,6.48719067327281,6.49385526143807,7.18859839035336,7.19555682474055
"ABCF3",5.72299884993677,5.76049439935107,6.05967188525116,5.88917386765992,6.28052238245146,6.37005157882519
"ABCG1",5.05230829590984,4.60066236206011,6.49503147457465,6.10522291347541,6.04292896249084,5.66581509084298
"ABCG2",6.2410676488847,6.51163347909916,6.28283576994032,6.13187096185877,5.45905816203619,5.4592511323646
"ABCG4",0.0632663136187197,0,0.0612923439281745,0.165687256947313,0.275551756482791,0.274074755176781
"ABCG5",0.0632663136187197,0.102708742131006,0,0,0,0.0494491605942155
"ABCG8",0,0.102708742131006,0.120086481137018,0,0,0
"ABHD1",0.30332403843119,0.519087697353819,0.222759174360988,0.695601896398716,0.770065938906793,0.6453675304363
"ABHD10",4.10099484550708,3.94711221089206,4.54421186821751,4.38815042941795,4.41204343832054,4.16088335902424
"ABHD11",6.2167328762369,6.33038934231525,6.52152259714296,6.70808512426128,5.45018852220318,5.82048268048154
"ABHD12",6.53619349675372,6.69798184917791,6.4917144659446,6.43148761209572,7.27698858543284,7.50412595027128
"ABHD12B",0,0,0.0612923439281745,0.112544720615528,0.106337553747695,0
"ABHD13",5.46352853725121,5.12842627075968,3.65395437731714,4.23022170236574,4.45169293881283,4.20163317389857
"ABHD14A",2.43112336326487,2.69775542262031,2.74979921569263,2.71005893048798,1.64488256489167,1.98078936642448
"ABHD14A-ACY1",1.51722894910806,1.53669715661726,1.97393198241014,1.55280761182071,1.21932025006547,1.45202179194725
"ABHD14B",5.32548765973491,5.55300448018138,5.27291474774083,5.47157611839252,5.34019495016568,5.54875526987501
"ABHD15",5.10045319865904,5.25903754783167,5.17173869844726,5.27363063794597,4.28831398611982,4.49947775910694
"ABHD16A",5.41898803739036,5.56747902995352,5.2943060305695,5.60182900004923,5.58722355726901,5.74041718842326
"ABHD16B",0,0,0,0,0,0.795403598731845
"ABHD17A",4.51711116627671,4.72982851844575,4.59821745664657,4.62787813968993,4.68737072275938,5.17680315486873
"ABHD17B",5.14683343433892,4.94360839322553,4.79360518755364,4.89735676802267,4.33077400133823,4.17403035597762
"ABHD17C",6.24705003080973,6.35033776674615,5.60797875511602,5.74411260067883,8.05735690473937,8.04236383507439
"ABHD18",4.04924009869419,4.01794671341581,4.16398244907684,4.1566554415414,3.91037586736381,3.63254609422707
"ABHD2",6.4558883325357,6.31711813850144,6.46361910126816,6.32250401588493,8.01569781675847,8.20779073177365
"ABHD3",3.60366527549983,3.54851869078033,3.90235984405837,3.62021977186142,4.2856867808956,4.1366533497167
"ABHD4",5.50149754171389,5.82433507868964,5.02449645902395,5.18557307536701,4.42211259190263,4.85546931943808
"ABHD5",3.89720218950595,3.86235003535531,4.44483151443926,4.02583852858027,4.16320293534178,4.12450006345555
"ABHD6",1.67653918399369,1.30039561331623,1.83212046577843,2.01525069870415,1.70332799652844,1.67662477513876
"ABHD8",2.19621851155316,2.52213755807039,1.91690970595975,1.94961541602027,1.07672629413422,0.836091254700774
"ABI1",6.2381969218294,6.09008041636879,6.05285189784577,6.14257147046401,6.92926278126425,6.92313065657279
"ABI2",6.70241983912231,6.6951425454436,6.71238641673671,6.7988886679615,6.67375783676397,6.62616029591901
"ABI3",0,0.151445171255283,0.120086481137018,0.165687256947313,0,0
"ABI3BP",0,0,0,0,0,0
"ABL1",6.85500741182958,7.01270495809463,6.91057466058114,6.96639849516464,7.00661915988047,7.14170961064291
"ABL2",5.66275297934614,5.82969905725323,5.79107294859691,5.88920675026502,5.37113187642263,5.38154108045538
"ABLIM1",5.7303075796071,5.89233441319783,6.42863773551054,6.27721495353241,4.03308884046307,4.28914905857776
"ABLIM2",2.03322124918585,1.91184157093287,2.18511874449251,1.68997692175225,1.94773870624205,2.07299618120099
"ABLIM3",5.93177765221789,6.08831022458,4.39662397511889,5.2132386937626,4.0594533402867,4.02468529332039
"ABO",0,0,0,0,0,0
"ABR",6.85573052093351,7.13483776772516,6.92040014249611,7.0846360834315,7.12235663371287,7.23175034909186
"ABRA",0,0.0522681867367762,0,0,0.0541482905842476,0
"ABRACL",5.06225507726348,5.02432980051338,4.85979081715269,4.71996253765852,4.64932629202121,4.51716136684051
