,hugo,MCF7_WT_veh_1-quant.sf,MCF7_WT_veh_2-quant.sf,MCF7_WT_veh_3-quant.sf,MCF7_WT_E2_1-quant.sf,MCF7_WT_E2_2-quant.sf,MCF7_WT_E2_3-quant.sf,MCF7_S_veh_1-quant.sf,MCF7_S_veh_2-quant.sf,MCF7_S_veh_3-quant.sf,MCF7_S_E2_1-quant.sf,MCF7_S_E2_2-quant.sf
ENSG00000000003,TSPAN6,5.137443683,5.205010322,5.109655964,5.171930996,5.158442543,5.192918054,5.148579853,5.118028253,5.079153347,5.132966408,5.194622604
ENSG00000000419,DPM1,6.952634446,6.970876541,6.796579624,6.946511796,7.013813154,7.022237565,6.836097708,6.880662019,6.884754074,6.876220273,6.994155531
ENSG00000000457,SCYL3,2.912833399,2.991508241,2.901516273,2.849914216,2.868638372,2.798186377,2.905377858,2.960654786,2.823898309,2.809551298,2.853578742
ENSG00000000460,C1orf112,2.627182371,2.475580919,2.554269827,2.557761255,2.704840322,2.6943511,3.567392238,3.505465297,3.460093375,3.442367895,3.50219921
ENSG00000001036,FUCA2,5.51517517,5.573743546,5.460910705,5.699792052,5.763378322,5.674603016,5.889960321,5.899700833,5.841630312,6.035656854,6.00673539
ENSG00000001084,GCLC,5.193249519,4.709407304,5.001147496,5.188896825,5.041470265,5.100145378,5.273849745,5.122176274,5.243784098,5.082583688,5.088339352
ENSG00000001167,NFYA,5.138863606,5.14218468,5.232012166,5.168092417,5.261850459,5.232150352,5.089828618,5.01921708,5.131494827,5.051115387,5.05750226
ENSG00000001460,STPG1,1.80514467,2.060454429,1.670440096,1.862485591,1.641032403,1.866944762,2.291046646,2.176266787,2.310554938,2.224558341,2.07841268
ENSG00000001461,NIPAL3,2.212361775,2.181948037,2.053353828,2.41094449,2.231129798,2.335370059,2.986765713,3.001574744,3.05234021,2.787328083,2.961350005
ENSG00000001497,LAS1L,4.97074462,4.875566542,4.863656032,5.209133988,5.227916397,5.184163676,5.012265488,4.887809249,4.820833568,5.065061152,5.108698239
ENSG00000001561,ENPP4,2.013004813,1.990871381,2.093364108,1.849118567,2.108511075,2.062954062,2.300366838,2.25405278,2.187542902,2.145873062,2.121234276
ENSG00000001617,SEMA3F,4.074240053,4.083358567,4.104149433,4.293703013,4.195232785,4.082180983,4.521448177,4.664237174,4.543226064,4.485701622,4.483591828
ENSG00000001626,CFTR,1.986920567,1.810049337,2.146348926,1.306401019,1.420424488,2.190761575,1.320174328,0.476015588,1.37928825,0.114316913,2.157021067
ENSG00000001629,ANKIB1,5.497387737,5.552522047,5.509519041,5.51182168,5.541805821,5.446606802,5.502219614,5.51264424,5.521219125,5.498274487,5.564836148
ENSG00000001630,CYP51A1,6.752867652,6.771791584,6.696862967,6.740007158,6.838843384,6.82725512,6.945652178,6.987437227,6.908637915,7.044554774,7.13089825
ENSG00000001631,KRIT1,4.713978443,4.479833348,4.686644341,4.476799335,4.741239211,4.593608781,5.011471442,5.031633417,5.088696015,4.988499328,4.927779417
ENSG00000002016,RAD52,3.369748016,3.167424681,2.798686156,3.132766536,3.06601441,3.085580084,3.066922612,2.756669572,2.864756868,3.136740169,3.426076185
ENSG00000002330,BAD,5.491608523,5.656454983,5.502100722,5.373899113,5.423491781,5.500917802,5.334802973,5.586462875,5.403326015,5.420476137,5.438758791
ENSG00000002549,LAP3,6.102595233,6.246425532,6.193825901,6.31805895,6.399951815,6.302869901,6.116404475,6.031244584,6.087979458,6.135203092,6.144084497
ENSG00000002586,CD99,6.323983426,6.378721908,6.408727415,6.31687594,6.426632595,6.39343507,7.038333246,7.081001818,7.072396798,6.932083016,7.000031142
ENSG00000002822,MAD1L1,4.152823848,4.272125787,4.289540807,4.455838575,4.360675609,4.243632975,4.195521231,4.238359642,4.073949762,4.160306541,4.072630325
ENSG00000002834,LASP1,6.784631142,6.812524941,6.83479376,6.565568712,6.547372238,6.571175253,6.498454985,6.507021438,6.495022132,6.390935141,6.352067044
ENSG00000002919,SNX11,4.963273936,4.90631321,4.955698026,4.837597609,4.887668544,4.863967482,4.769296069,4.791956407,4.77608656,4.659714245,4.717704441
ENSG00000003056,M6PR,6.201235536,6.088451597,6.177440129,6.337297667,6.262690391,6.270540099,6.344924963,6.34883229,6.282309578,6.369488801,6.259427258
ENSG00000003096,KLHL13,0.315255748,0.148512848,0.333159992,0.407454349,0.316305647,0.419122472,1.722636078,1.442096866,1.603345048,1.772574443,1.80815416
ENSG00000003137,CYP26B1,2.275962368,2.135114542,2.281226423,3.359102737,3.483588926,3.373504839,1.422768529,1.740278255,1.487591306,1.973556542,2.245038017
ENSG00000003147,ICA1,4.981446678,5.030290393,5.051179831,5.060223601,5.154973527,5.134717417,5.143495339,5.34463803,5.288157686,5.314455525,5.529538688
ENSG00000003249,DBNDD1,7.24023453,7.175277174,7.237304652,7.17997008,7.132600089,7.183083802,7.084874957,7.009782137,7.042649809,7.082431973,7.047072411
ENSG00000003393,ALS2,3.74986546,3.95490397,4.026318313,3.529755993,3.703504551,3.707763891,3.642674081,3.60524491,3.716957432,3.661442972,3.668683858
ENSG00000003402,CFLAR,4.517508018,4.783253652,4.731456594,4.456055588,4.540278485,4.416032242,4.482971378,4.579042045,4.72983231,4.595349453,4.675896587
ENSG00000003436,TFPI,4.789995651,4.874584185,4.88783761,4.411289496,4.487893658,4.396591698,3.289727218,3.309671556,3.10512087,3.040365742,2.897512091
ENSG00000003509,NDUFAF7,3.668688055,3.855686979,3.786983015,3.576657331,3.788685815,3.853475245,3.717095225,3.842116979,4.028871096,3.666844514,3.520384908
ENSG00000003756,RBM5,5.909781719,5.89475843,5.987300681,5.858507905,5.92836748,5.840105462,5.886739568,5.703707309,5.756000886,5.839398797,5.596372739
ENSG00000003987,MTMR7,1.512702733,1.525658487,1.286549999,1.350663572,1.695938731,1.526515076,1.818693524,1.891872534,1.902658722,1.714369941,1.823671925
ENSG00000003989,SLC7A2,5.396045335,5.430694941,5.461178615,5.561513137,5.530902313,5.49709644,6.142257335,6.221638626,6.123840471,6.078437663,6.14710499
ENSG00000004059,ARF5,8.376171576,8.421666839,8.36055396,8.320434575,8.294423169,8.297081201,8.564422623,8.549999649,8.487747911,8.489579626,8.549898612
ENSG00000004139,SARM1,3.07050285,2.902846927,2.733605543,2.9609081,2.464177615,2.607223441,1.223427629,1.194796875,1.282648558,0.927070867,1.445133933
ENSG00000004142,POLDIP2,6.378789038,6.304478187,6.298863562,6.465894494,6.442853946,6.439146039,6.409255147,6.400005018,6.387348754,6.430922501,6.400539637
ENSG00000004399,PLXND1,6.247068911,6.272754414,6.20281337,6.33184709,6.270713771,6.32842564,5.681198768,5.472168979,5.681571518,5.432117523,5.558272655
ENSG00000004455,AK2,6.891161552,6.7913614,6.795608209,6.979623382,7.125048021,7.069123882,6.572581062,6.620355238,6.560750181,6.760632588,6.751649308
ENSG00000004478,FKBP4,7.363425025,7.373154441,7.345805987,7.65252743,7.676624645,7.677919097,7.363113251,7.323710282,7.331098467,7.626350521,7.630935805
ENSG00000004487,KDM1A,5.162331545,5.225748063,5.238269865,5.459766351,5.484295059,5.452757116,5.55262207,5.467668995,5.506628789,5.643800212,5.646081129
ENSG00000004534,RBM6,4.515769464,4.364848619,4.327575278,4.391414907,4.354788351,4.400444957,4.179067272,4.127051727,4.078891498,4.208860101,4.215262306
ENSG00000004660,CAMKK1,1.962438489,1.86539947,1.820157758,2.023767643,2.144159039,2.09157934,1.918098061,1.841607429,1.881879696,2.007750012,1.991323055
ENSG00000004700,RECQL,4.126973021,4.169381324,4.08936001,4.184181889,4.232088707,4.151728955,4.550184987,4.654591523,4.657605824,4.672491818,4.68126186
ENSG00000004766,VPS50,3.630941723,3.476650369,3.517362,3.416625348,3.476863931,3.45418591,3.825375347,3.712156633,3.840218987,3.672264385,3.928747336
ENSG00000004777,ARHGAP33,2.327717367,2.312296322,2.28895737,2.947658639,3.023051089,3.252757308,3.205455387,2.654814038,3.404834064,3.26357186,3.454545207
ENSG00000004779,NDUFAB1,8.028267073,8.006599925,7.925359882,8.09984682,8.167430691,8.111548238,8.083057446,8.040359939,8.020361366,8.075616278,8.190398761
ENSG00000004799,PDK4,0.912128638,0.807185911,0.835943472,0.696765716,0.721727875,0.702529978,1.537298433,1.766633322,1.706446563,1.86079598,1.811498569
ENSG00000004838,ZMYND10,0.98991916,1.534360472,1.336784673,1.132664224,0.826254376,0.932168341,1.484765097,1.091592944,1.656429554,1.16037643,1.219831303
ENSG00000004848,ARX,0.997239649,1.001398736,0.933421563,0.928239172,0.936143781,1.029594233,0.730954652,0.68525664,0.686302402,0.730889458,0.613607086
ENSG00000004864,SLC25A13,4.919892549,4.774861577,4.959305794,4.930931308,4.943661637,5.032445999,5.029610664,4.749567626,5.155968971,5.049216979,4.949868769
ENSG00000004866,ST7,3.186226556,3.329456741,3.190982519,3.474385097,3.549683819,3.823062796,3.922779805,3.859256601,3.721909244,3.878518553,4.011930239
ENSG00000004897,CDC27,5.469047068,5.660169077,5.532870614,5.558767714,5.655412655,5.526453542,5.470484154,5.485697951,5.601310092,5.526741881,5.614062341
ENSG00000004948,CALCR,0.564363534,0.802121236,0.705186225,1.41291039,1.603841138,1.393644144,0.693420405,0.748634689,0.685485409,1.015406725,0.985913507
ENSG00000004961,HCCS,4.999164347,4.958462654,5.031382403,4.910925024,4.927954511,5.051754043,4.772694782,4.623344832,4.688813651,4.698473539,4.77839295
ENSG00000004975,DVL2,4.008782311,3.910017478,3.770807189,4.087643082,4.05227607,3.772065323,4.073332599,4.167610409,4.148025506,4.26924328,4.084540378
ENSG00000005001,PRSS22,5.515569533,5.381966725,5.565535427,5.3965743,5.293288812,5.387168817,4.7169887,4.739160661,4.613664837,4.866547358,4.733020747
ENSG00000005007,UPF1,5.747501814,5.772522531,5.812666993,5.847411682,5.846963457,5.785165377,5.616692846,5.573766991,5.555592557,5.591115123,5.611165592
ENSG00000005020,SKAP2,3.39033077,3.34327705,3.369904321,2.924590395,2.969518544,3.265588869,4.345466067,4.323509143,4.040515541,4.15395203,4.112501644
ENSG00000005022,SLC25A5,9.979571987,9.957485974,9.932491259,9.992991343,10.0355966,10.01298557,10.01309413,10.00163087,9.987108036,10.05242636,10.07521127
ENSG00000005059,CCDC109B,4.423196741,4.767973544,4.64608038,4.426838498,4.386790809,4.434691605,4.768951105,4.874287163,4.728712141,4.38703747,4.495879804
ENSG00000005073,HOXA11,0.238057992,0.302674672,0.319945047,0.369024185,0.330455142,0.434008453,1.078154139,1.208049978,0.925176088,0.947015254,1.26143032
ENSG00000005075,POLR2J,7.346738342,7.360784153,7.307417413,7.266517369,7.241154226,7.334792249,7.448883776,7.576004767,7.642584832,7.483649173,7.426924804
ENSG00000005100,DHX33,3.458893262,3.402382743,3.491884899,3.763570177,3.771847874,3.643232413,3.442211018,3.367520919,3.446169533,3.66067736,3.539319391
ENSG00000005156,LIG3,3.609561731,3.947766852,3.956681189,4.334621475,4.151627949,4.094729019,3.987754792,4.131780591,3.808625491,4.207885904,4.016960414
ENSG00000005175,RPAP3,5.113831621,5.234181844,5.266248784,5.216236737,5.246197406,5.14771185,4.783932864,4.808845847,4.941287435,4.805809226,4.885571875
ENSG00000005187,ACSM3,1.375504801,1.348069724,1.271962433,1.017027088,1.334184269,0.990900418,1.079454234,1.631724357,0.970614265,2.129303858,1.384503162
ENSG00000005189,0,1.974505084,1.810326696,1.706273265,2.26065118,2.066390067,1.904924792,2.883443303,2.843779261,2.815348965,3.11304368,2.924646258
ENSG00000005194,CIAPIN1,5.381221722,5.513937508,5.356902153,5.525008442,5.583000244,5.531821256,5.149085401,5.168722711,5.277876392,5.230528329,5.242433191
ENSG00000005206,SPPL2B,4.658001262,4.726060466,4.829463877,4.9416506,4.895101667,4.872891784,4.658247135,4.682067816,4.455482612,4.557868149,4.631694281
